gene_id,gene_name,symbol,GO_ID,chromosome,Evidence_Code
406067,major royal jelly protein 8,Mrjp8,GO:0005576,LG11,IEA
406068,octopamine receptor,Oa1,GO:0008227,LG15,IEA
406068,octopamine receptor,Oa1,GO:0016020,LG15,IEA
406068,octopamine receptor,Oa1,GO:0071880,LG15,IEA
406070,dopamine receptor 2,DopR2,GO:0004930,LG15,IEA
406070,dopamine receptor 2,DopR2,GO:0004930,LG15,IEA
406070,dopamine receptor 2,DopR2,GO:0016020,LG15,IEA
406070,dopamine receptor 2,DopR2,GO:0071880,LG15,IEA
406071,GABA neurotransmitter transporter-1A,Gat-a,GO:0016020,LG1,IEA
406071,GABA neurotransmitter transporter-1A,Gat-a,GO:0016020,LG1,IEA
406071,GABA neurotransmitter transporter-1A,Gat-a,GO:0035725,LG1,IEA
406072,hyperpolarization-activated ion channel,Amih,GO:0005249,LG8,IEA
406072,hyperpolarization-activated ion channel,Amih,GO:0006813,LG8,IEA
406072,hyperpolarization-activated ion channel,Amih,GO:0016020,LG8,IEA
406072,hyperpolarization-activated ion channel,Amih,GO:0055085,LG8,IEA
406073,,LOC406073,GO:0000978,LG5,IEA
406073,,LOC406073,GO:0000981,LG5,IEA
406073,,LOC406073,GO:0005634,LG5,IEA
406073,,LOC406073,GO:0006357,LG5,IEA
406075,ADP/ATP translocase,Ant,GO:0005471,LG7,IEA
406075,ADP/ATP translocase,Ant,GO:0005471,LG7,IEA
406075,ADP/ATP translocase,Ant,GO:0005743,LG7,IEA
406075,ADP/ATP translocase,Ant,GO:0005743,LG7,IEA
406075,ADP/ATP translocase,Ant,GO:0140021,LG7,IEA
406075,ADP/ATP translocase,Ant,GO:0140021,LG7,IEA
406075,ADP/ATP translocase,Ant,GO:1990544,LG7,IEA
406075,ADP/ATP translocase,Ant,GO:1990544,LG7,IEA
406076,vacuolar H+ ATP synthase 16 kDa proteolipid subunit,Vha16,GO:0033179,LG6,IEA
406076,vacuolar H+ ATP synthase 16 kDa proteolipid subunit,Vha16,GO:0046961,LG6,IEA
406076,vacuolar H+ ATP synthase 16 kDa proteolipid subunit,Vha16,GO:1902600,LG6,IEA
406077,homeotic protein antennapedia,Antp,GO:0000122,LG16,IEA
