target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,gene_name,gene_gi,gene_beebase,gene_id,product
NM_001011599.1,2.02E-21,2.30E-17,5.944084397,0.625419319,13.00458992,10.70280888,0.00136778,1.172080195,0.011359039,1.172080195,Mrjp5,Mrjp5,,406116,"Apis mellifera major royal jelly protein 5 (Mrjp5), mRNA."
XM_003250871.4,3.97E-16,2.26E-12,-0.677142485,0.08319187,10.87215264,0.143926586,0.001064049,0.019698613,0.013411223,0.019698613,LOC410322,LOC410322,GB45052,410322,PREDICTED: Apis mellifera ral guanine nucleotide dissociation
XM_001122704.5,8.61E-16,3.27E-12,1.760824594,0.218865729,6.49688517,0.976234179,0.031066002,0.11264062,0.081786102,0.11264062,LOC726990,LOC726990,GB45633,726990,"PREDICTED: Apis mellifera uncharacterized LOC726990 (LOC726990),"
XM_396295.7,1.87E-13,5.34E-10,1.423885732,0.193526175,6.382745464,0.61215941,0.028277005,0.036863173,0.084080136,0.084080136,LOC412843,LOC412843,GB51494,412843,PREDICTED: Apis mellifera phosphoenolpyruvate carboxykinase
XR_003305976.1,7.80E-12,1.78E-08,2.633863035,0.384941747,5.108076059,2.29610072,0.111078507,0.33346194,0.121722595,0.33346194,LOC102654929,LOC102654929,,102654929,PREDICTED: Apis mellifera uncharacterized LOC102654929
XM_026441302.1,1.74E-11,3.30E-08,0.68495618,0.10182656,9.720617149,0.156232214,0.00237251,0.028733435,0.026045794,0.028733435,LOC552224,LOC552224,GB42359,552224,"PREDICTED: Apis mellifera dynein heavy chain 1, axonemal"
XM_391850.6,1.00E-10,1.56E-07,-0.577992972,0.089378862,14.07962665,0.112898641,0.000125025,0.023840718,0.014448177,0.023840718,LOC408299,LOC408299,GB54294,408299,PREDICTED: Apis mellifera purine nucleoside phosphorylase
XM_016916711.2,1.09E-10,1.56E-07,1.764340723,0.273390959,6.624821611,1.052815732,0.029214531,0.195013318,0.079358841,0.195013318,LOC102656186,LOC102656186,,102656186,"PREDICTED: Apis mellifera trypsin-5 (LOC102656186), transcript"
NM_001011610.1,1.30E-10,1.62E-07,6.249539865,0.972344481,12.60144094,13.23035084,0.001812147,2.834549221,0.010660273,2.834549221,Mrjp4,Mrjp4,,406133,"Apis mellifera major royal jelly protein 4 (Mrjp4), mRNA."
XM_001123118.5,1.42E-10,1.62E-07,0.717343719,0.111852085,12.60542023,0.174461155,0.000331392,0.037201274,0.010665971,0.037201274,LOC727408,LOC727408,GB43897,727408,"PREDICTED: Apis mellifera slit homolog 1 protein (LOC727408),"
XR_003305760.1,2.11E-10,2.18E-07,5.073569556,0.798577631,10.96444065,8.759555555,0.004043313,1.909135386,0.012854318,1.909135386,LOC113219122,LOC113219122,,113219122,PREDICTED: Apis mellifera uncharacterized LOC113219122
XM_394092.7,3.43E-10,3.26E-07,-1.092727002,0.174062244,10.38008086,0.408280622,0.001644816,0.089248178,0.017166527,0.089248178,LOC410614,LOC410614,GB50148,410614,"PREDICTED: Apis mellifera tubulin alpha chain (LOC410614), mRNA."
NM_001014429.1,6.63E-10,5.82E-07,4.508454585,0.730163063,13.05104506,6.997511928,0.000670502,1.598743796,0.011453593,1.598743796,Mrjp7,Mrjp7,,409555,"Apis mellifera major royal jelly protein 7 (Mrjp7), mRNA."
XR_001704586.2,9.58E-10,7.68E-07,1.2696095,0.207576841,6.792493079,0.557124473,0.022692435,0.106572,0.076360757,0.106572,LOC107965094,LOC107965094,,107965094,PREDICTED: Apis mellifera uncharacterized LOC107965094
XM_393208.7,1.01E-09,7.68E-07,1.988176813,0.325513243,11.1938347,1.367027933,0.001195257,0.316681358,0.011786343,0.316681358,LOC409709,LOC409709,GB53579,409709,PREDICTED: Apis mellifera putative glucosylceramidase 4
