Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,gene_name,gene_gi,gene_beebase,gene_id,product
1,XM_003250751.4,4.67366e-60,4.08431e-56,-5.644858982,0.345343756,10.41635009,9.70244465,0.004681811,0.174211654,0.100414949,0.174211654,LOC100578731,LOC100578731,GB51107,100578731,PREDICTED: Apis mellifera uncharacterized LOC100578731
2,XM_392857.6,6.32312e-31,2.76289e-27,-3.844568729,0.332480236,14.60027037,4.566864342,0.000151528,0.165663134,0.120777245,0.165663134,LOC409341,LOC409341,GB43825,409341,"PREDICTED: Apis mellifera lysosomal aspartic protease (LOC409341),"
3,XM_393211.7,2.7977e-27,8.14969e-24,2.981110049,0.275543587,11.13066108,2.75721426,0.001723686,0.112162716,0.094089543,0.112162716,LOC409712,LOC409712,GB50239,409712,PREDICTED: Apis mellifera short/branched chain specific acyl-CoA
4,XM_006566669.3,6.51338e-26,1.42301e-22,-3.008210555,0.285771844,11.2164218,2.812797878,0.001403542,0.121094779,0.09362184,0.121094779,LOC727221,LOC727221,GB45260,727221,PREDICTED: Apis mellifera vacuolar protein sorting-associated
5,XM_393769.7,8.77595e-25,1.53386e-21,2.859721943,0.278213923,9.767718677,2.500625751,0.003794336,0.055234255,0.112310145,0.112310145,LOC410288,LOC410288,GB46635,410288,"PREDICTED: Apis mellifera phytanoyl-CoA dioxygenase (LOC410288),"
6,XM_391943.7,7.594e-24,1.10607e-20,4.036387028,0.400882786,8.735172749,5.080574482,0.014316271,0.226744241,0.15173945,0.226744241,LOC408395,LOC408395,GB52052,408395,PREDICTED: Apis mellifera venom carboxylesterase-6-like
7,XM_026439408.1,4.80404e-21,5.9975e-18,3.639509577,0.386631272,10.30333011,4.153189476,0.004237112,0.219988499,0.101949955,0.219988499,LOC551465,LOC551465,GB53288,551465,"PREDICTED: Apis mellifera homogentisate 1,2-dioxygenase"
8,XM_006562100.3,1.25876e-19,1.22226e-16,3.201442682,0.353208356,9.14787013,3.224477946,0.008186083,0.178948131,0.132023356,0.178948131,LOC413705,LOC413705,GB46749,413705,"PREDICTED: Apis mellifera acidic mammalian chitinase (LOC413705),"
9,XM_003251379.4,1.25508e-19,1.22226e-16,-3.629019444,0.40036787,8.617367866,4.143287956,0.009583725,0.230857922,0.158561601,0.230857922,LOC100576760,LOC100576760,GB51753,100576760,PREDICTED: Apis mellifera uncharacterized LOC100576760
10,XM_001121241.5,1.6071800000000001e-19,1.40451e-16,-2.496322639,0.276227061,14.30970556,1.925364552,0.000141258,0.069704413,0.114310826,0.114310826,LOC725387,LOC725387,GB40021,725387,PREDICTED: Apis mellifera uncharacterized protein DDB_G0283357
11,XM_006565868.3,3.93664e-19,3.12748e-16,-2.590928589,0.289854174,9.432739623,2.099462093,0.004196778,0.102789232,0.121826386,0.121826386,LOC102654653,LOC102654653,,102654653,"PREDICTED: Apis mellifera dihydropyrimidinase (LOC102654653),"
12,XM_016916462.2,4.40516e-19,3.20806e-16,-3.603468267,0.403691383,7.722333433,4.014131732,0.017063097,0.131232737,0.227387003,0.227387003,LOC412436,LOC412436,GB55307,412436,"PREDICTED: Apis mellifera protein CASC1 (LOC412436), transcript"
13,XM_003251817.4,1.6375500000000002e-18,1.10081e-15,2.331717569,0.2655773,13.63681097,1.715709609,0.000258099,0.105538854,0.102920815,0.105538854,LOC100576170,LOC100576170,GB52571,100576170,"PREDICTED: Apis mellifera mucin-1 (LOC100576170), mRNA."
14,XM_006567217.3,7.123070000000001e-18,4.44632e-15,-2.86795192,0.332983023,10.0638965,2.600597697,0.002686449,0.163630091,0.105886705,0.163630091,LOC408790,LOC408790,GB44045,408790,"PREDICTED: Apis mellifera protein croquemort (LOC408790),"
15,XM_006557698.3,7.88509e-18,4.59385e-15,2.193483435,0.255019078,10.87419734,1.475341206,0.001731649,0.038181267,0.095820446,0.095820446,LOC551329,LOC551329,GB54363,551329,PREDICTED: Apis mellifera ATPase family AAA domain-containing
16,XM_003249835.4,3.12305e-17,1.70577e-14,-3.534560514,0.41869411,9.469990568,3.958301118,0.005673457,0.25728368,0.120642531,0.25728368,LOC725439,LOC725439,GB54508,725439,"PREDICTED: Apis mellifera uncharacterized LOC725439 (LOC725439),"
17,NM_001177490.1,4.03858e-17,2.07607e-14,2.212043601,0.26296995,13.68126269,1.54131758,0.000196639,0.091524001,0.103533153,0.103533153,CytC,CytC,,408270,"Apis mellifera mitochondrial cytochrome C (CytC), mRNA."
18,XM_396295.7,9.35437e-17,4.54155e-14,4.727558631,0.568714731,8.010456901,7.093066916,0.030708807,0.454445861,0.201072695,0.454445861,LOC412843,LOC412843,GB51494,412843,PREDICTED: Apis mellifera phosphoenolpyruvate carboxykinase
19,XM_026442221.1,9.27956e-16,4.26811e-13,-3.151655212,0.392190545,7.83954175,3.144287983,0.014478766,0.191032247,0.21624137,0.21624137,LOC725670,LOC725670,GB40511,725670,PREDICTED: Apis mellifera mast/stem cell growth factor receptor Kit
20,XM_006558330.3,7.80532e-15,3.41053e-12,3.695234961,0.475534334,10.13170834,4.367787908,0.003990208,0.335209146,0.104668626,0.335209146,LOC100576458,LOC100576458,GB40218,100576458,"PREDICTED: Apis mellifera urea transporter 2 (LOC100576458), mRNA."
21,XM_026440515.1,1.63664e-14,6.81074e-12,-2.048510831,0.266859413,13.8878207,1.298733104,0.000193312,0.049574334,0.106627608,0.106627608,LOC725942,LOC725942,GB49614,725942,PREDICTED: Apis mellifera glutathione S-transferase 1-1
22,XM_394662.7,3.12836e-14,1.24267e-11,3.831172096,0.504573312,6.838106671,4.66309112,0.053924891,0.270734149,0.32796645,0.32796645,LOC411188,LOC411188,GB48134,411188,"PREDICTED: Apis mellifera L-lactate dehydrogenase (LOC411188),"
23,XM_006562537.3,6.35023e-14,2.41281e-11,-2.245165577,0.299329484,13.92766501,1.619748308,0.000167784,0.134229427,0.107273021,0.134229427,LOC409517,LOC409517,GB54861,409517,PREDICTED: Apis mellifera digestive cysteine proteinase 1
24,XM_026440869.1,1.08576e-13,3.90633e-11,-2.992350696,0.402737542,8.736704583,2.880885839,0.007879834,0.235416458,0.151653757,0.235416458,LOC113218784,LOC113218784,,113218784,PREDICTED: Apis mellifera leucine-rich repeat transmembrane
25,XM_016913279.2,1.1175e-13,3.90633e-11,-4.301782737,0.579269956,12.67888696,5.954264833,0.00084548,0.502485043,0.093894757,0.502485043,LOC100578995,LOC100578995,GB43311,100578995,"PREDICTED: Apis mellifera vanin-like protein 1 (LOC100578995),"
26,NM_001010975.1,1.50472e-13,5.05759e-11,1.837956297,0.248818307,12.24611954,1.070720993,0.000671841,0.070948144,0.092193984,0.092193984,Ant,Ant,,406075,"Apis mellifera ADP/ATP translocase (Ant), mRNA."
27,XM_006558279.3,2.57464e-13,8.26268e-11,-2.150560974,0.293995028,9.946846447,1.491193443,0.002457896,0.127191719,0.108202868,0.127191719,LOC412430,LOC412430,GB46177,412430,PREDICTED: Apis mellifera major facilitator superfamily
28,XM_623667.6,2.64739e-13,8.26268e-11,-1.874329952,0.256363696,10.71319171,1.127060453,0.001402262,0.090006015,0.097181255,0.097181255,LOC551273,LOC551273,GB43464,551273,PREDICTED: Apis mellifera lysosomal Pro-X carboxypeptidase
29,NM_001178069.1,2.86556e-13,8.63521e-11,2.58023537,0.353429407,12.07317827,2.147179185,0.000720883,0.186647636,0.091899015,0.186647636,Cat,Cat,,443552,"Apis mellifera catalase (Cat), mRNA."
30,XM_624369.5,3.53652e-13,1.03019e-10,-2.857344759,0.392912822,13.18973588,2.634582305,0.000350315,0.231220413,0.097753887,0.231220413,LOC551986,LOC551986,GB51071,551986,PREDICTED: Apis mellifera deoxyribose-phosphate aldolase
31,XR_001705696.2,6.72113e-13,1.89471e-10,-2.127331737,0.296079921,10.11985439,1.462858079,0.002377329,0.12911765,0.104875342,0.12911765,LOC107965604,LOC107965604,,107965604,PREDICTED: Apis mellifera uncharacterized LOC107965604
32,XM_394061.6,1.03168e-12,2.81744e-10,1.789485431,0.251113079,12.73358681,0.98022439,0.000376817,0.02405688,0.094209851,0.094209851,LOC410583,LOC410583,GB50218,410583,"PREDICTED: Apis mellifera ornithine aminotransferase, mitochondrial"
33,XM_026444749.1,1.11514e-12,2.9531e-10,-1.887118239,0.265212618,10.21574437,1.149948782,0.002231386,0.099748873,0.103275213,0.103275213,LOC726690,LOC726690,GB49887,726690,PREDICTED: Apis mellifera probable cytochrome P450 6a14
34,NM_001011563.1,1.77785e-12,4.56959e-10,-4.105748266,0.582302641,12.41070073,5.464042286,0.000828922,0.507785626,0.092677097,0.507785626,Jhe,Jhe,,406066,"Apis mellifera juvenile hormone esterase (Jhe), mRNA."
35,XM_006561022.3,3.97369e-12,9.92174e-10,-1.998987078,0.288116785,14.0770127,1.29839834,0.000146259,0.124370664,0.109837451,0.124370664,LOC552018,LOC552018,GB50595,552018,PREDICTED: Apis mellifera probable tRNA
36,XM_026440893.1,6.57834e-12,1.59689e-09,-1.703932847,0.248150582,11.96011641,0.910653492,0.000545064,0.049001621,0.091823003,0.091823003,LOC725529,LOC725529,,725529,PREDICTED: Apis mellifera kynurenine/alpha-aminoadipate
37,XM_624899.5,2.8225e-11,6.66644e-09,-7.778017017,1.168651945,2.889008509,18.38652519,0.014076465,0.282499259,2.034544587,2.034544587,LOC552523,LOC552523,GB44710,552523,"PREDICTED: Apis mellifera L-threonine ammonia-lyase (LOC552523),"
