geneName,genebiotype,entrezid,product,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC102654975,protein_coding,102654975,zinc finger protein 628-like,71.27491747,4.807798719,0.403108167,11.92682042,8.5788E-33,7.47814E-29
LOC727000,protein_coding,727000,protein sprint,668.9223582,2.387010809,0.210551562,11.33694182,8.61009E-30,3.75271E-26
LOC408874,protein_coding,408874,uncharacterized LOC408874,1289.537495,2.435831508,0.227896618,10.68831795,1.15446E-26,3.35447E-23
LOC725967,protein_coding,725967,D-3-phosphoglycerate dehydrogenase,1810.192986,3.785302756,0.362652902,10.43781183,1.66607E-25,3.63078E-22
Kr-h1,protein_coding,100576395,kruppel homolog 1,119.9719811,2.520509867,0.242175475,10.40778331,2.2848E-25,3.98332E-22
LOC552679,protein_coding,552679,cytochrome P450 4c3,1481.602195,4.103466826,0.425003615,9.655133927,4.67548E-22,6.79269E-19
LOC724275,protein_coding,724275,uncharacterized LOC724275,38.4940704,6.795321592,0.725492137,9.366499301,7.49781E-21,9.33692E-18
LOC100577537,protein_coding,100577537,uncharacterized LOC100577537,136.7579614,4.283620663,0.468158914,9.149928656,5.69712E-20,6.20772E-17
LOC726040,protein_coding,726040,4-coumarate--CoA ligase 1,3135.115264,2.509403753,0.276740176,9.067724793,1.21528E-19,1.17707E-16
LOC100576392,protein_coding,100576392,transcriptional regulator Myc-B,196.9967834,1.975639234,0.221327307,8.926323937,4.404E-19,3.83896E-16
LOC551086,protein_coding,551086,zinc finger protein chinmo,61.04916502,2.841242416,0.334266218,8.499938864,1.89691E-17,1.50321E-14
LOC411207,protein_coding,411207,CCAAT/enhancer-binding protein,1037.557845,2.649666658,0.345258211,7.674449369,1.66131E-14,1.2068E-11
LOC412941,protein_coding,412941,synaptic vesicle glycoprotein 2B,291.2651125,1.972097715,0.261899596,7.529976174,5.07496E-14,3.40295E-11
LOC552447,protein_coding,552447,clavesin-2,686.5860908,-1.539048827,0.209819525,-7.335107748,2.21543E-13,1.37942E-10
LOC409305,protein_coding,409305,elongation factor-like GTPase 1,315.3415882,1.532800902,0.210481853,7.282342296,3.28073E-13,1.90654E-10
Mir3759,miRNA,100629078,microRNA 3759,868.6826147,2.284446672,0.335682484,6.80537944,1.00783E-11,5.4908E-09
LOC551089,protein_coding,551089,translation initiation factor IF-2,19.56839696,4.954403327,0.73892622,6.704868762,2.01587E-11,1.03367E-08
CytC,protein_coding,408270,mitochondrial cytochrome C,406.1030966,1.282745334,0.193544137,6.627663105,3.41043E-11,1.65159E-08
LOC410405,protein_coding,410405,cytochrome P450 18a1,244.114177,2.194436594,0.336162735,6.52789963,6.66984E-11,3.06005E-08
LOC100578666,protein_coding,100578666,uncharacterized LOC100578666,266.9696942,2.567164378,0.394800886,6.502428115,7.90338E-11,3.44469E-08
LOC100577237,protein_coding,100577237,ankyrin repeat and ELMO domain-containing protein D,29.28896935,2.83810579,0.438463917,6.472837738,9.61792E-11,3.99235E-08
LOC551179,protein_coding,551179,methyl farnesoate epoxidase,604.7896696,1.763007038,0.281641415,6.259757784,3.85576E-10,1.52776E-07
