,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
1,NM_001011599.1,2.01672E-21,2.29926E-17,5.944084397,0.625419319,13.00458992,10.70280888,0.00136778,1.172080195,0.011359039,1.172080195
2,XM_003250871.4,3.96825E-16,2.2621E-12,-0.677142485,0.08319187,10.87215264,0.143926586,0.001064049,0.019698613,0.013411223,0.019698613
3,XM_001122704.5,8.60853E-16,3.27153E-12,1.760824594,0.218865729,6.49688517,0.976234179,0.031066002,0.11264062,0.081786102,0.11264062
4,XM_396295.7,1.87264E-13,5.33749E-10,1.423885732,0.193526175,6.382745464,0.61215941,0.028277005,0.036863173,0.084080136,0.084080136
5,XR_003305976.1,7.79654E-12,1.77777E-08,2.633863035,0.384941747,5.108076059,2.29610072,0.111078507,0.33346194,0.121722595,0.33346194
6,XM_026441302.1,1.7356E-11,3.29794E-08,0.68495618,0.10182656,9.720617149,0.156232214,0.00237251,0.028733435,0.026045794,0.028733435
7,XM_391850.6,1.00117E-10,1.55715E-07,-0.577992972,0.089378862,14.07962665,0.112898641,0.000125025,0.023840718,0.014448177,0.023840718
8,XM_016916711.2,1.09264E-10,1.55715E-07,1.764340723,0.273390959,6.624821611,1.052815732,0.029214531,0.195013318,0.079358841,0.195013318
9,NM_001011610.1,1.29899E-10,1.62327E-07,6.249539865,0.972344481,12.60144094,13.23035084,0.001812147,2.834549221,0.010660273,2.834549221
10,XM_001123118.5,1.4238E-10,1.62327E-07,0.717343719,0.111852085,12.60542023,0.174461155,0.000331392,0.037201274,0.010665971,0.037201274
11,XR_003305760.1,2.10802E-10,2.18487E-07,5.073569556,0.798577631,10.96444065,8.759555555,0.004043313,1.909135386,0.012854318,1.909135386
12,XM_394092.7,3.43409E-10,3.26267E-07,-1.092727002,0.174062244,10.38008086,0.408280622,0.001644816,0.089248178,0.017166527,0.089248178
13,NM_001014429.1,6.63371E-10,5.81776E-07,4.508454585,0.730163063,13.05104506,6.997511928,0.000670502,1.598743796,0.011453593,1.598743796
14,XR_001704586.2,9.57519E-10,7.67669E-07,1.2696095,0.207576841,6.792493079,0.557124473,0.022692435,0.106572,0.076360757,0.106572
15,XM_393208.7,1.01E-09,7.67669E-07,1.988176813,0.325513243,11.1938347,1.367027933,0.001195257,0.316681358,0.011786343,0.316681358
16,XM_006565335.3,1.68289E-09,1.19916E-06,-0.816009818,0.135419629,10.00727401,0.231615486,0.001943716,0.053071711,0.021747304,0.053071711
17,XM_001122741.5,2.12208E-09,1.42317E-06,1.639868103,0.27385104,7.66772944,0.937939449,0.012057029,0.212926147,0.062035798,0.212926147
18,XM_026441673.1,4.65293E-09,2.94711E-06,-0.819546716,0.139875107,10.07940359,0.236538348,0.002047464,0.056647672,0.020734382,0.056647672
19,XM_001120116.5,5.22138E-09,3.1331E-06,0.915917758,0.156836346,7.668068198,0.270463441,0.011762719,0.034075464,0.062030199,0.062030199
