,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
1,XM_003251251.4,3.343E-62,3.07054E-58,-2.328634499,0.139908033,8.577584445,1.477063443,0.010173802,0.02309742,0.068123228,0.068123228
2,XM_392359.7,4.93174E-41,2.2649E-37,2.183359033,0.16275367,9.172573466,1.370106471,0.004142397,0.101812631,0.067825186,0.101812631
3,XM_026441493.1,1.03263E-33,3.16158E-30,1.881485829,0.155470984,10.85802443,1.034236294,0.001180063,0.095504845,0.073063278,0.095504845
4,XM_001123131.5,4.22859E-27,9.70991E-24,1.438951261,0.133469962,9.36554674,0.583491631,0.00308418,0.030490929,0.068172743,0.068172743
5,XM_026446383.1,5.27978E-26,9.69896E-23,-1.457506799,0.138199857,8.571037261,0.60616911,0.008260994,0.034255605,0.068135809,0.068135809
6,XM_623687.6,1.72882E-25,2.64653E-22,-2.287102982,0.219190822,7.866001067,1.574257248,0.016614102,0.175564363,0.071590831,0.175564363
7,XM_397320.7,8.23111E-25,9.82918E-22,-1.386691877,0.134826154,9.69244287,0.533480694,0.003728519,0.018453836,0.068983848,0.068983848
8,XM_396310.6,8.56108E-25,9.82918E-22,2.213597722,0.215304356,7.395600712,1.479732905,0.013726284,0.171697579,0.076773234,0.171697579
9,XM_006572072.3,7.9857E-24,8.14985E-21,-2.04481446,0.20318517,6.079862971,1.269132043,0.058113387,0.107023466,0.105337548,0.107023466
10,XM_016915139.2,3.87137E-23,3.55585E-20,1.706549081,0.172252466,7.891460598,0.887387343,0.008873729,0.10980992,0.071373806,0.10980992
11,XM_026446211.1,7.17325E-23,5.98966E-20,1.690151338,0.171668631,8.242135156,0.871784856,0.007609776,0.1102707,0.069103404,0.1102707
12,XM_392383.7,8.17495E-23,6.25724E-20,1.33478086,0.135755016,9.4082204,0.543907169,0.003242435,0.070475262,0.068267785,0.070475262
13,NM_001167836.1,6.91899E-22,4.88854E-19,1.496645096,0.155659258,7.091820539,0.680731482,0.015194471,0.074175961,0.081724748,0.081724748
14,XM_003251623.4,1.04402E-21,6.84953E-19,-1.565128551,0.163503451,10.32825269,0.753038581,0.002388489,0.104545025,0.070923829,0.104545025
15,XM_026442143.1,1.9287E-21,1.18101E-18,2.121398742,0.223098411,10.38961613,1.38590753,0.001643834,0.197447771,0.071146641,0.197447771
16,XM_006567700.3,3.20979E-20,1.84262E-17,-1.389592986,0.150850756,7.595973657,0.586354796,0.016741235,0.059790713,0.074282568,0.074282568
17,XM_026445247.1,1.14758E-19,6.20033E-17,-1.760961847,0.194067424,6.070764169,0.901214536,0.045047891,0.034542933,0.10560077,0.10560077
18,XM_397175.6,8.60747E-18,4.3922E-15,1.147999322,0.133625212,9.270058479,0.41626573,0.003441107,0.066014334,0.067981683,0.067981683
19,XM_026444653.1,1.72437E-17,8.33597E-15,2.39457647,0.281350719,6.362919255,1.824589773,0.02976063,0.286872279,0.097609778,0.286872279
20,XM_395330.6,6.77582E-17,3.1118E-14,-1.122919386,0.134467249,9.670648174,0.374670659,0.003398832,0.037763175,0.068926932,0.068926932
21,XM_396044.5,9.38921E-17,4.10666E-14,-1.135772016,0.136638083,9.457456977,0.413695358,0.004130839,0.070549024,0.068383371,0.070549024
22,XM_394630.6,1.65405E-16,6.90564E-14,-1.498558865,0.181757548,6.421356311,0.677666982,0.036006188,0.048443101,0.096137038,0.096137038
23,XM_026443993.1,2.87481E-16,1.14805E-13,1.268152275,0.155059927,7.135753831,0.486329806,0.015262934,0.046316088,0.08091139,0.08091139
24,XM_026441022.1,3.56715E-16,1.36518E-13,-1.282521168,0.157317859,7.162905246,0.510725425,0.018572743,0.058672914,0.080422893,0.080422893
25,XM_395404.7,3.9479E-16,1.45046E-13,1.380058965,0.169537298,6.586534183,0.603147401,0.022743278,0.079325295,0.092228303,0.092228303
26,XR_407947.3,9.54049E-16,3.37036E-13,-1.603058711,0.199568343,6.279629001,0.833968683,0.048299421,0.111010674,0.099785096,0.111010674
27,XM_026440423.1,1.12883E-15,3.84011E-13,-1.169878368,0.146016272,7.790121686,0.379880399,0.013008735,0.002973009,0.072274272,0.072274272
28,NM_001242987.1,1.57573E-15,5.16896E-13,2.2135352,0.277703408,5.036978459,1.594508437,0.078672174,0.229804557,0.14140048,0.229804557
29,XM_001119981.5,1.84164E-15,5.83293E-13,-1.116668528,0.140433739,11.79403317,0.383552898,0.000777158,0.053901346,0.078109382,0.078109382
30,XM_392183.7,4.55053E-15,1.39322E-12,1.440943696,0.183823146,9.308017156,0.679837872,0.003555383,0.131608414,0.068053673,0.131608414
