entrezid,gene_names,gene_beebase,product,motif_count
551388,Akhr,GB53230,adipokinetic hormone receptor,1
725841,LOC725841,GB54847,hyaluronan mediated motility receptor,1
410071,LOC410071,GB40767,glycerol-3-phosphate phosphatase,1
413803,Grd,GB40809,GABA-gated ion channel,1
409957,LOC409957,GB40794,synaptotagmin 4,1
725775,LOC725775,GB51828,uncharacterized LOC725775,1
726646,LOC726646,GB48993,probable cytochrome P450 6a13,1
726676,cad,GB48966,homeotic protein caudal,2
725151,LOC725151,GB55322,homeobox protein engrailed-1a,3
551280,LOC551280,GB40012,uncharacterized LOC551280,1
413501,LOC413501,GB45509,protein Wnt-6,2
413575,LOC413575,GB48937,facilitated trehalose transporter Tret1,1
725273,LOC725273,GB49260,uncharacterized LOC725273,1
724275,LOC724275,GB43418,uncharacterized LOC724275,2
107966102,LOC107966102,,uncharacterized LOC107966102,1
102653599,LOC102653599,,uncharacterized LOC102653599,1
552101,LOC552101,GB55356,uncharacterized LOC552101,1
408666,LOC408666,GB55408,uncharacterized LOC408666,1
725144,LOC725144,GB55604,uncharacterized LOC725144,4
408664,LOC408664,GB55411,homeodomain-interacting protein kinase 2,3
409587,Hsc70-3,GB49117,heat shock 70 kDa protein cognate 3,1
100577303,LOC100577303,,uncharacterized LOC100577303,1
551170,LOC551170,GB55781,dumpy,1
726252,LOC726252,,titin,1
724885,LOC724885,GB53835,zinc finger protein 395,2
410926,LOC410926,GB49184,PH domain leucine-rich repeat-containing protein phosphatase 2,1
408733,LOC408733,GB47026,protein pinocchio,1
413936,LOC413936,GB53064,uncharacterized LOC413936,1
551691,Camkii,GB49535,calcium/calmodulin-dependent protein kinase II,1
100576383,LOC100576383,GB55923,"mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",2
100577527,LOC100577527,GB50477,uncharacterized LOC100577527,1
102654975,LOC102654975,,zinc finger protein 628-like,2
725547,LOC725547,GB50439,extensin,1
413590,LOC413590,GB44006,alkylglycerol monooxygenase,1
107964328,LOC107964328,,bone morphogenetic protein 10,1
725124,cact1,GB44055,NF-kappa-B inhibitor cactus 1,1
409949,LOC409949,GB52992,agrin,1
102655609,LOC102655609,,uncharacterized LOC102655609,1
408767,LOC408767,GB53008,protein dachsous,2
100629078,Mir3759,,microRNA 3759,1
107965828,LOC107965828,,cholesterol 7-desaturase,1
113218770,LOC113218770,,uncharacterized LOC113218770,1
102655278,LOC102655278,,uncharacterized LOC102655278,1
408830,LOC408830,GB46705,obscurin,1
411086,LOC411086,GB48639,protein jagged-1,2
552523,LOC552523,GB44710,L-threonine ammonia-lyase,1
100577237,LOC100577237,GB44697,ankyrin repeat and ELMO domain-containing protein D,1
100577717,LOC100577717,GB44460,uncharacterized LOC100577717,1
409043,LOC409043,GB41372,high-affinity choline transporter 1,1
100578680,LOC100578680,GB45564,uncharacterized LOC100578680,1
412202,CPR28,GB52161,cuticular protein 28,3
724976,LOC724976,GB48563,WD repeat-containing protein 26,1
408878,LOC408878,GB52947,protein mesh,1
411155,LOC411155,GB42976,teneurin-a,2
408874,LOC408874,GB53562,uncharacterized LOC408874,1
100577214,LOC100577214,GB42377,protein giant-lens,2
726842,LOC726842,GB49684,optomotor-blind protein,4
409590,LOC409590,GB46275,cyclin-dependent kinase 1,1
102656658,LOC102656658,,uncharacterized LOC102656658,1
724312,LOC724312,GB43310,vanin-like protein 1,1
100578816,LOC100578816,GB42410,uncharacterized LOC100578816,1
552048,LOC552048,GB44333,flocculation protein FLO11,1
100577498,LOC100577498,GB48167,actin cytoskeleton-regulatory complex protein PAN1,1
724569,LOC724569,GB48161,uncharacterized LOC724569,1
410085,LOC410085,GB11704,AN1-type zinc finger protein 5,1
725967,LOC725967,GB40503,D-3-phosphoglycerate dehydrogenase,1
725670,LOC725670,GB40511,mast/stem cell growth factor receptor Kit,1
551780,LOC551780,GB40517,uncharacterized protein CG3556,1
