target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1202	9220	572.426
NM_001011562.1	863	814	29	2.65868
NM_001011566.1	1503	1454	272	13.9604
NM_001011563.1	2084	2035	774	28.3837
NM_001011568.1	2077	2028	0	0
NM_001011565.1	3023	2974	0	0
NM_001011570.1	582	533	4057	568.029
NM_001011567.1	4030	3981	0	0
NM_001011572.1	2346	2297	105	3.41131
NM_001011574.1	1940	1891	0	0
NM_001011571.1	2093	2044	12	0.43812
NM_001011576.1	1195	1146	7	0.455833
NM_001011573.1	3160	3111	37	0.887553
NM_001011579.1	1430	1381	27	1.45903
NM_001011575.1	2163	2114	66	2.32987
NM_001011581.1	2439	2390	32	0.999182
NM_001011578.1	5441	5392	0	0
NM_001011580.1	1544	1495	67.8727	3.38802
NM_001011585.1	1638	1589	7	0.328751
NM_001011582.1	356	307	24	5.83399
NM_001011587.1	496	447	21659	3615.96
NM_001011584.1	1606	1557	0	0
NM_001011589.1	624	575	2	0.25957
NM_001011586.1	2205	2156	924	31.9828
NM_001011591.1	584	535	0	0
NM_001011588.1	724	675	0	0
NM_001011593.1	548	499	0	0
NM_001011590.1	574	525	5	0.710728
NM_001011595.1	2818	2769	11	0.296457
NM_001011592.1	1590	1541	2739	132.642
NM_001011597.1	2673	2624	6	0.17064
NM_001011594.1	4195	4146	0	0
NM_001011599.1	1942	1893	2	0.0788446
NM_001011596.1	4100	4051	14	0.257904
NM_001011601.1	1830	1781	32	1.34085
NM_001011598.1	1624	1575	0	0
NM_001011603.1	1683	1634	4941	225.66
NM_001011600.1	2052	2003	2970	110.654
NM_001011605.1	1448	1399	105	5.60098
NM_001011602.1	2795	2746	9	0.244588
NM_001011606.1	1757	1708	0	0
NM_001011608.1	1873	1824	1460	59.7339
NM_001011612.1	304	255	6.28686	1.83987
NM_001011613.1	710	661	3	0.338698
NM_001011610.1	1612	1563	0	0
NM_001011614.1	688	639	0	0
NM_001011615.1	664	615	22	2.66956
NM_001011617.1	374	325	5	1.1481
NM_001011618.1	523	474	0	0
NM_001011619.1	1559	1510	0	0
NM_001011620.1	957	908	1704	140.048
NM_001011621.1	3254	3205	1.01092	0.0235385
NM_001011622.1	1529	1480	2	0.100847
NM_001011623.1	3376	3327	0	0
NM_001011624.1	4969	4920	6.00195	0.0910374
NM_001011627.1	2520	2471	317	9.57369
NM_001011629.1	14440	14391	7.08081	0.0367185
NM_001011630.1	630	581	2200	282.579
NM_001011631.1	1741	1692	7	0.308738
NM_001011633.1	1533	1484	0	0
NM_001011635.1	1447	1398	149	7.95375
NM_001011636.1	570	521	16897	2420.27
NM_001011637.1	1369	1320	89	5.03163
NM_001011638.1	584	535	2	0.278977
NM_001011640.1	991	942	4042	320.212
NM_001011641.1	970	921	480	38.8933
NM_001011643.1	2378	2329	54	1.73028
NM_001011577.1	2389	2340	442	14.0961
NM_001011650.1	2242	2193	0	0
NM_001011634.2	3754	3705	38	0.765399
NM_001012429.1	672	623	476.353	57.0602
NM_001012627.1	3153	3104	5	0.12021
NM_001012615.1	1097	1048	6	0.427251
NM_001012962.1	3606	3557	33	0.692345
NM_001012963.1	502	453	3	0.494215
NM_001013006.1	2991	2942	5	0.126829
NM_001013361.1	4113	4064	0	0
NM_001014429.1	1427	1378	13	0.704023
NM_001014430.1	438	389	553	106.088
NM_001014983.1	3250	3201	0	0
NM_001014991.1	7242	7193	9.81276	0.101806
NM_001014993.1	1386	1337	11097	619.394
NM_001014994.1	1892	1843	2562	103.74
NM_001024697.1	1793	1744	0	0
NM_001032361.1	3585	3536	105	2.216
NM_001039968.1	1349	1300	0	0
NM_001040231.1	363	314	0	0
NM_001040233.1	1647	1598	9936	464.01
NM_001040230.1	13107	13058	61	0.348615
NM_001040234.1	1500	1451	2.0696	0.106441
NM_001040208.1	582	533	9156	1281.95
NM_001040204.1	793	744	65	6.51978
NM_001040203.1	644	595	9	1.1288
NM_001040205.1	698	649	7.00063	0.80498
NM_001040207.1	1179	1130	57.0029	3.76454
NM_001040206.1	682	633	34	4.00837
NM_001040220.1	483	434	5	0.859751
NM_001040221.1	459	410	5	0.910078
NM_001040209.1	588	539	2	0.276907
NM_001040224.1	399	350	1601	341.363
NM_001040229.1	453	404	0	0
NM_001040223.1	555	506	270060	39829.3
NM_001040227.1	724	675	22	2.43227
NM_001040225.1	407	358	0	0
NM_001040226.1	432	383	27	5.26087
NM_001040236.1	1767	1718	33	1.43345
NM_001040267.1	1895	1846	12	0.485112
NM_001040255.1	1893	1844	124	5.01826
NM_001040257.1	1554	1505	4	0.198343
NM_001040258.1	1250	1201	55	3.41753
NM_001040265.1	1689	1640	59	2.68473
NM_001040263.1	1550	1501	2873	142.839
NM_001040256.1	767	718	62	6.44406
NM_001040259.1	1743	1694	220	9.69174
NM_001040264.1	1600	1551	291	14.0015
NM_001040270.1	509	460	1	0.162231
NM_001040269.1	1397	1348	16.5912	0.918502
NM_001040277.1	2150	2101	424	15.0603
NM_001040681.1	2499	2450	251	7.6454
NM_001042458.1	1737	1688	0	0
NM_001042460.1	1794	1745	348	14.8825
NM_001077809.1	1344	1295	0	0
NM_001077808.1	5328	5279	14	0.197911
NM_001077812.1	1470	1421	6	0.315101
NM_001077811.1	1287	1238	0	0
NM_001077810.1	354	305	156	38.1696
NM_001077813.1	3226	3177	337	7.91599
NM_001077815.1	1855	1806	5	0.206607
NM_001077814.1	387	338	0	0
NM_001077816.1	1530	1481	0	0
NM_001077818.1	1707	1658	25	1.12525
NM_001077817.1	1194	1145	1.47804	0.0963324
NM_001077819.1	378	329	266	60.3363
NM_001077820.1	351	302	32	7.90744
NM_001077822.1	1533	1484	0	0
NM_001077824.1	1842	1793	11	0.457831
NM_001077821.1	4097	4048	0	0
NM_001077825.1	1158	1109	2	0.134583
NM_001078661.1	315	266	7	1.96385
NM_001079561.1	1701	1652	0	0
NM_001079560.1	1607	1558	0	0
NM_001080110.1	2703	2654	0	0
NM_001080095.1	1590	1541	1	0.0484273
NM_001080094.2	2123	2074	47.7298	1.71741
NM_001080205.1	2713	2664	741	20.7576
NM_001083630.1	1713	1664	29	1.30058
NM_001085344.1	515	466	0	0
NM_001085345.1	1491	1442	5	0.25876
NM_001085346.1	509	460	2	0.324463
NM_001040266.2	1599	1550	0	0
NM_001011626.2	755	706	384	40.59
NM_001040235.2	6077	6028	0	0
NM_001098232.1	1146	1097	109	7.41502
NM_001098218.1	2148	2099	121	4.30195
NM_001098220.1	1806	1757	0	0
NM_001040262.2	438	389	46	8.82472
NM_001098217.1	2187	2138	137	4.78196
NM_001098219.1	2139	2090	0	0
NM_001098234.1	462	413	21.1652	3.82442
NM_001098228.1	1286	1237	62	3.74037
NM_001098214.1	1863	1814	35	1.43987
NM_001098229.1	1284	1235	90	5.43836
NM_001098221.1	1763	1714	5	0.217697
NM_001098223.1	1436	1387	1	0.0538042
NR_003565.1	7091	7042	0	0
NR_003566.1	6861	6812	4168	45.661
NR_003567.1	17525	17476	4	0.0170809
NM_001077823.2	516	467	21	3.35579
NM_001098717.1	2199	2150	1833	63.6234
NM_001101023.1	3033	2984	1602	40.0642
NM_001104949.1	3122	3073	10.0156	0.243224
NM_001110764.1	2606	2557	19064	556.386
NM_001111255.1	2504	2455	1	0.0303977
NM_001112670.1	3330	3281	50	1.13725
NM_001112671.1	3001	2952	105.123	2.65751
NM_001113285.1	2779	2730	1	0.0273357
NM_001113739.1	1509	1460	1022	52.2385
NM_001114188.1	1950	1901	0	0
NM_001114198.1	730	681	3740.64	409.913
NM_001126244.1	1674	1625	6	0.275544
NM_001131037.1	1164	1115	0	0
NM_001131038.1	2722	2673	145	4.0482
NM_001134227.1	1704	1655	146	6.58336
NM_001134333.1	282	233	0	0
NM_001134371.1	591	542	1131	155.724
NM_001134722.1	105	56	280	373.132
NM_001134668.1	2541	2492	1614	48.3335
NM_001134669.1	584	535	0	0
NM_001134828.1	1495	1446	719.76	37.146
NM_001134934.1	3281	3232	4	0.0923594
NM_001134940.1	1464	1415	4	0.210958
NM_001134942.1	1621	1572	1140	54.1184
NM_001134943.1	1434	1385	0	0
NM_001134947.1	1760	1711	2	0.0872314
NM_001134948.1	3181	3132	3	0.0714813
NM_001134949.1	3346	3297	614	13.8977
NM_001134950.1	2295	2246	6	0.199358
NM_001011644.2	1200	1151	41.8789	2.71527
NM_001135735.1	1032	983	18608	1412.66
NM_001135905.1	488	439	3103.54	527.577
NM_001135909.1	320	271	10077	2774.95
NM_001136187.1	614	565	5179	684.054
NM_001136206.1	1002	953	87	6.8127
NM_001136207.1	930	881	26	2.20237
NM_001136208.1	1008	959	18	1.4007
NM_001136209.1	1029	980	4	0.304598
NM_001141964.1	2248	2199	70.3293	2.38673
NM_001142436.1	1295	1246	1825	109.304
NM_001142461.1	824	775	290	27.9247
NM_001142561.1	1943	1894	92	3.62494
NM_001142609.1	1671	1622	1272	58.5233
NM_001142637.1	999	950	1	0.0785541
NM_001142607.1	642	593	9	1.13261
NM_001142693.1	1386	1337	6	0.334898
NM_001112672.2	1701	1652	2005	90.5726
NM_001143921.1	2102	2053	0	0
NM_001145738.1	2787	2738	0	0
NM_001145739.1	2553	2504	3	0.0894087
NM_001145736.1	2424	2375	0	0
NM_001145737.1	2433	2384	0	0
NM_001145740.1	3633	3584	9	0.187399
NM_001159303.1	1404	1355	225	12.3918
NM_001098215.2	2635	2586	7	0.202005
NM_001160048.1	2747	2698	12586	348.128
NM_001160050.1	2417	2368	31580	995.229
NM_001160052.1	2920	2871	20441	531.327
NM_001160064.1	2844	2795	25705	686.323
NM_001160072.1	2237	2188	260	8.86786
NM_001160270.1	698	649	11677	1342.7
NM_001161787.1	927	878	7216	613.331
NM_001161831.1	683	634	14035	1652.02
NM_001162398.1	165	116	767	493.435
NM_001162513.1	4073	4024	89	1.65053
NM_001162516.1	1758	1709	103	4.49767
NM_001163463.1	481	432	2840	490.6
NM_001163715.1	854	805	290	26.8841
NM_001163716.1	900	851	31.8938	2.79685
NM_001163717.1	2152	2103	237	8.41011
NM_001011616.2	680	631	66	7.80562
NM_001163712.1	1155	1106	182	12.2803
NM_001163714.1	1566	1517	128	6.29676
NM_001110712.2	754	705	0	0
NM_001164008.1	2209	2160	42	1.45107
NM_001164810.1	871	822	3012.24	273.47
NM_001164809.1	503	454	589.025	96.8211
NM_001165906.1	3754	3705	852.015	17.1614
NM_001165905.1	6135	6086	23.2597	0.28521
NM_001165904.1	5715	5666	0	0
NM_001167709.1	732	683	0	0
NM_001167720.1	599	550	93	12.6187
NM_001167836.1	1455	1406	4	0.212308
NM_001167893.1	1135	1086	0	0
NR_031508.1	87	38	0	0
NR_031509.1	83	34	0	0
NR_031510.1	77	28	0	0
NR_031511.1	107	58	0	0
NR_031512.1	89	40	0	0
NR_031513.1	92	43	0	0
NR_031514.1	85	36	0	0
NR_031515.1	102	53	0	0
NR_031516.1	91	42	0	0
NR_031517.1	84	35	0	0
NR_031518.1	84	35	1	2.13218
NR_031519.1	92	43	1	1.7355
NR_031520.1	103	54	1	1.38197
NR_031521.1	92	43	0	0
NR_031522.1	89	40	0	0
NR_031523.1	84	35	0	0
NR_031524.1	90	41	0	0
NR_031525.1	82	33	0	0
NR_031526.1	90	41	0	0
NR_031527.1	87	38	0	0
NR_031528.1	85	36	2	4.14591
NR_031529.1	87	38	0	0
NR_031530.1	92	43	0	0
NR_031531.1	85	36	0	0
NM_001168336.1	1053	1004	1128	83.8432
NM_001168425.1	1144	1095	382	26.0341
NM_001168700.1	993	944	0	0
NM_001011639.2	1806	1757	0	0
NM_001170972.1	1128	1079	141	9.75192
NM_001170973.1	1131	1082	11264	776.887
NM_001170974.1	1454	1405	2634	139.905
NM_001171051.1	4101	4052	43	0.791939
NM_001171108.1	1209	1160	0	0
NM_001172378.1	1201	1152	47	3.04465
NM_001172379.1	1114	1065	93	6.51667
NM_001172389.1	1026	977	18	1.3749
NM_001172403.1	1330	1281	5199.65	302.913
NM_001172404.1	2427	2378	4567	143.322
NM_001172405.1	228	179	2774	1156.5
