tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
7460	Apis mellifera	406130	0	live	Melt	GB10355, GB44112, MEL, MLT	melittin	melittin|allergen Api m 3|allergen Api m III		LG4	NC_037641.1	12397548	12399076	minus	2		
7460	Apis mellifera	406088	0	live	Vg	GB13999, GB49544	vitellogenin	vitellogenin		LG4	NC_037641.1	5029485	5035661	minus	7		
7460	Apis mellifera	406141	0	live	Pla2	GB13351, GB48228, bvPLA2	phospholipase A2	phospholipase A2|allergen Api m 1|allergen Api m I|phosphatidylcholine 2-acylhydrolase		LG13	NC_037650.1	3562941	3564376	plus	4		
7460	Apis mellifera	406074	0	live	Csd	GB11167, GB47022	complementary sex determiner	complementary sex determiner		LG3	NC_037640.1	11771679	11781139	minus	9		
7460	Apis mellifera	406135	0	live	Apamin	APM, GB18161, GB40697	apamin protein	apamin|apamine		LG12	NC_037649.1	6649292	6649822	plus	3		
7460	Apis mellifera	406090	0	live	Mrjp1	GB14888, GB55205, p56kP-4	major royal jelly protein 1	major royal jelly protein 1|56-kDa protein 4|MRJP-1|apalbumin 1|apisin subunit MRJP1|bee-milk protein|milk protein|royalactin		LG11	NC_037648.1	2274667	2277905	plus	7		
7460	Apis mellifera	406121	0	live	Mrjp3	GB16459, GB55204	major royal jelly protein 3	major royal jelly protein 3|MRJP-3|bee-milk protein|royal jelly protein RJP57-1		LG11	NC_037648.1	2268450	2272030	plus	9		
7460	Apis mellifera	406110	0	live	TyrR	GB17991, Tyr1	tyramine receptor	tyramine receptor|G-protein coupled receptor		LG1	NC_037638.1	15771885	15849170	minus	3		
7460	Apis mellifera	413961	0	live	Lop1	GB19657, GB50196	long wavelength sensitive opsin 1	rhodopsin, long-wavelength|LW Rh|apiceropsin|long-wavelength rhodopsin|opsin, green-sensitive		LG15	NC_037652.1	7414822	7417248	plus	6		
7460	Apis mellifera	406143	0	live	Def1	Def, Defensin-1, GB19392, GB41428	defensin 1	defensin-1|royalisin		LG6	NC_037643.1	8673495	8675023	plus	3		
7460	Apis mellifera	406070	0	live	Dop1R2	Dop2, DopR2, GB17921	dopamine receptor 2	dopamine receptor 2|dopamine receptor type D2		LG15	NC_037652.1	6339308	6402471	plus	5		
7460	Apis mellifera	406068	0	live	Oamb	GB11266, GB52910, Oa1, Oar	Octopamine receptor in mushroom bodies	Octopamine receptor in mushroom bodies|octopamine receptor 1		LG15	NC_037652.1	3310369	3326664	minus	9		
7460	Apis mellifera	406082	0	live	nAChRbeta2	Apisalpha3, GB15196, GB40923, nAChRa8	nicotinic acetylcholine receptor beta2	nicotinic acetylcholine receptor alpha8 subunit|nicotinic acetylcholine receptor beta2|nAChRalpha8|neuronal nicotinic acetylcholine receptor alpha-3		LG5	NC_037642.1	4710530	4714157	plus	12		
7460	Apis mellifera	406102	0	live	Obp1	GB11135, GB55593, asp1	odorant binding protein 1	odorant binding protein 1|odorant binding protein ASP1|pheromone-binding protein ASP1		LG2	NC_037639.1	14654212	14655874	minus	6		
7460	Apis mellifera	408521	0	live	Eip93F	GB17328, GB50048, Mblk-1	Ecdysone-induced protein 93F	mushroom body large-type Kenyon cell-specific protein 1|putative transcription factor mblk-1|transcription factor mblk-1-like		LG15	NC_037652.1	6989419	7038341	minus	10		
7460	Apis mellifera	406134	0	live	Mcdp	GB13285, GB40696	mast cell-degranulating peptide	mast cell degranulating peptide|MCD peptide|peptide 401		LG12	NC_037649.1	6648493	6649822	plus	4		
7460	Apis mellifera	406112	0	live	per	GB19264, GB52077	period circadian regulator	period circadian protein|period circadian regulator|period clock protein		LG12	NC_037649.1	10032689	10051762	minus	17		
7460	Apis mellifera	724970	0	live	Fem	GB16868, GB47020	feminizer	feminizer		LG3	NC_037640.1	11792751	11800256	minus	10		
7460	Apis mellifera	406078	0	live	Tsf1	GB19745, GB50226, Trf	transferrin 1	transferrin 1		LG15	NC_037652.1	7734777	7737849	plus	9		
7460	Apis mellifera	406131	0	live	Hbg3	GB19017, GB43247	alpha-glucosidase	alpha-glucosidase|maltase		LG6	NC_037643.1	4602439	4613520	plus	8		
7460	Apis mellifera	406103	0	live	Obp2	GB20134, GB53369, asp2	odorant binding protein 2	odorant binding protein 2|antenna-specific|odorant binding protein ASP2		LG9	NC_037646.1	11974257	11975390	plus	5		
7460	Apis mellifera	406124	0	live	Rdl	Amel_Rdlac, GB40975	Resistant to dieldrin	gamma-aminobutyric acid receptor subunit beta|GABA receptor Rdl subunit|gamma-aminobutyric acid receptor RDL subunit|resistance to dieldrin homolog		LG7	NC_037644.1	9455806	9542487	plus	12		
7460	Apis mellifera	411257	0	live	Hbg2	AGLU4, GB20070, GB54549	alpha-glucosidase	alpha-glucosidase|alpha glucosidase 4		LG8	NC_037645.1	5359323	5361065	plus	1		
7460	Apis mellifera	408363	0	live	Ac3	Amac3, GB11637, GB45150	adenylate cyclase 3	adenylate cyclase 3		LG11	NC_037648.1	12956997	12973602	plus	11		
7460	Apis mellifera	410798	0	live	Dnmt3	GB55485	DNA methyltransferase 3	DNA methyltransferase 3		LG2	NC_037639.1	15816211	15827587	plus	18		
7460	Apis mellifera	551648	0	live	Hex110	GB14361, GB44996	hexamerin 110	hexamerin 110|high Glx storage protein		LG11	NC_037648.1	13517503	13521591	minus	8		
7460	Apis mellifera	100576395	0	live	Kr-h1	GB45427	kruppel homolog 1	Krueppel homologous protein 1|kruppel-like protein 1		LG6	NC_037643.1	16501760	16510451	minus	5		
7460	Apis mellifera	406083	0	live	Tk	Atk, GB12290, GB49248, Trp	tachykinin	tachykinins|amTRP|prepro-AmTRP|preprotachykinin|tachykinin-related peptide		LG7	NC_037644.1	3706639	3736958	plus	7		
7460	Apis mellifera	551691	0	live	CaMKII	GB17817, GB49535	Calcium/calmodulin-dependent protein kinase II	calcium/calmodulin-dependent protein kinase II|Ca2+/calmodulin-dependent protein kinase II|calmodulin kinase II		LG4	NC_037641.1	5243020	5370926	minus	20		
7460	Apis mellifera	406155	0	live	PPO	GB18313, GB43738, ppoq	phenoloxidase subunit A3	phenoloxidase subunit A3|prophenoloxidase		LG14	NC_037651.1	6001332	6004996	plus	9		
7460	Apis mellifera	406117	0	live	HEX70b	GB10869, GB51697	hexamerin 70b	hexamerin 70b|larval storage protein		LG8	NC_037645.1	11855314	11859108	minus	7		
7460	Apis mellifera	406140	0	live	Apid1	Apid14, Apid22, Apid73, GB13473, GB47546	apidaecin 1	apidaecins type 14|Apidaecins type 22|Apidaecins type 73|apidaecin 14|apidaecin type 22		LG16	NC_037653.1	4518604	4520315	plus	8		
7460	Apis mellifera	406094	0	live	CSP3	ASP3, Asp3c, GB18819, GB52324	chemosensory protein 3	chemosensory protein 3|antennal specific protein 3|antennal-specific protein 3c		LG5	NC_037642.1	2779893	2781325	plus	3		
7460	Apis mellifera	411830	0	live	Acph-1	GB12546, GB41338	venom acid phosphatase	venom acid phosphatase Acph-1|allergen Api m 3|histidine acid phosphatase		LG5	NC_037642.1	13090287	13099780	minus	12		
7460	Apis mellifera	726848	0	live	Hex70a	GB51698, hex71	hexamerin 70a	hexamerin 70a		LG8	NC_037645.1	11848693	11852800	minus	6		
7460	Apis mellifera	544670	0	live	EF1a-F2	EF-1a-F2, EF1-alpha, GB16844, GB41358	elongation factor 1-alpha F2	elongation factor 1-alpha|EF1aF2|elongation factor-1alpha F2		LG5	NC_037642.1	12770336	12774960	minus	7		
7460	Apis mellifera	406079	0	live	Nmdar1	GB19253, GB46886, NR1	NMDA receptor 1	NMDA receptor 1|NMDA-type glutamate receptor 1|NMDA-type glutamate receptor subunit 1		LG3	NC_037640.1	4398525	4406208	plus	19		
7460	Apis mellifera	551341	0	live	Cbs	GB12529, GB55902	cystathionine beta-synthase	cystathionine beta-synthase		LG4	NC_037641.1	5699459	5702045	plus	6		
7460	Apis mellifera	410795	0	live	LOC410795	GB16316, GB55489	trehalase	trehalase|alpha,alpha-trehalase|alpha,alpha-trehalose glucohydrolase		LG2	NC_037639.1	15850478	15864798	plus	8		
7460	Apis mellifera	409227	0	live	usp	GB16648, GB42692, RXR	retinoid X receptor ultraspiracle	retinoid X receptor ultraspiracle|ultraspiracle|NR2B4|ultraspiracle protein		LG9	NC_037646.1	7403312	7457844	minus	10		
7460	Apis mellifera	406146	0	live	LOC406146	GB18543, GB52775	hyaluronoglucosaminidase	hyaluronidase|allergen Api m 2|allergen Api m II|hya		LG14	NC_037651.1	8399536	8411645	minus	8		
7460	Apis mellifera	406116	0	live	Mrjp5	GB10622, GB55208	major royal jelly protein 5	major royal jelly protein 5|MRJP-5|bee-milk protein		LG11	NC_037648.1	2291758	2298839	plus	8		
7460	Apis mellifera	406072	0	live	Ih	Amih, GB18118, GB47876	hyperpolarization activated cyclic nucleotide gated potassium channel Ih	hyperpolarization-activated ion channel|I[[h]] channel		LG8	NC_037645.1	323612	504123	plus	21		
7460	Apis mellifera	503505	0	live	LOC503505	GB13967, GB40758	venom protein 2	icarapin-like|venom carbohydrate-rich protein		LG1	NC_037638.1	6234443	6275806	plus	4		
7460	Apis mellifera	408995	0	live	Dop2R	Dop3, GB42577	dopamine D2-like receptor	D2-like dopamine receptor|dopamine D2-like receptor|dopamine receptor 3		LG9	NC_037646.1	10181294	10324139	minus	8		
7460	Apis mellifera	406145	0	live	LOC406145	GB19804	secapin	secapin		LG5	NC_037642.1	2354864	2356029	plus	2		
7460	Apis mellifera	406111	0	live	Dop1	GB50192	dopamine receptor, D1	dopamine receptor, D1|dopamine receptor 1		LG15	NC_037652.1	7337783	7381156	plus	9		
7460	Apis mellifera	724880	0	live	Apime-ASTA	GB16653, GB47928	allatostatin A	allatostatins		LG8	NC_037645.1	4113573	4126766	minus	3		
7460	Apis mellifera	406067	0	live	Mrjp8	GB14639, GB55214	major royal jelly protein 8	major royal jelly protein 8		LG11	NC_037648.1	2312803	2315913	plus	6		
7460	Apis mellifera	406128	0	live	Blop	GB13493, GB41643	blue-sensitive opsin	opsin, blue-sensitive|amBLop		LG14	NC_037651.1	10150063	10152653	plus	8		
7460	Apis mellifera	443552	0	live	Cat	GB11648, GB41427	catalase	catalase		LG6	NC_037643.1	8659532	8670508	plus	9		
7460	Apis mellifera	408385	0	live	Ef-1a-f1	GB10560, GB52028	translation elongation factor eEF-1 alpha chain	elongation factor 1-alpha|EF-1-alpha|cytoplasmic elongation factor 1 alpha		LG12	NC_037649.1	11332076	11338405	plus	5		
7460	Apis mellifera	406151	0	live	mGluR	GB18621, GB44968, Glura, mGlutR, mGlutR1	metabotropic Glutamate Receptor	metabotropic Glutamate Receptor|metabotropic glutamate receptor 1|metabotropic glutamate receptor A		LG11	NC_037648.1	14015127	14045583	minus	8		
7460	Apis mellifera	726057	0	live	ILP-2	GB10174, GB43560	insulin-like peptide 2	insulin-like peptide 2|bombyxin		LG14	NC_037651.1	5016214	5017942	minus	3		
7460	Apis mellifera	406084	0	live	Ecr	AmEcR, EcR-A, EcR-B1, EcRA, EcRB1, GB48059	ecdysone receptor	ecdysone receptor|NR1H1|ecdysteroid receptor		LG8	NC_037645.1	9626947	9747799	plus	8		
7460	Apis mellifera	725074	0	live	LOC725074	GB55030, OCLP1	omega-conotoxin-like protein 1	omega-conotoxin-like protein 1		LG5	NC_037642.1	3293169	3296782	plus	3		
7460	Apis mellifera	406077	0	live	Antp	GB18813, GB51292	homeotic protein antennapedia	homeobox protein H90|antennapedia		LG16	NC_037653.1	3881429	4037081	plus	11		
7460	Apis mellifera	726450	0	live	ftz-f1	GB42142, NR5A3	ftz transcription factor 1	nuclear hormone receptor FTZ-F1		LG1	NC_037638.1	91682	110399	plus	5		
7460	Apis mellifera	408430	0	live	Ca-beta	GB40089	Calcium channel protein beta subunit	voltage-dependent L-type calcium channel subunit beta-1|voltage-dependent L-type calcium channel subunit beta-2|voltage-dependent L-type calcium channel subunit beta-3|voltage-dependent L-type calcium channel subunit beta-4|Ca2+-channel-protein-beta-subunit		LG13	NC_037650.1	6241811	6325630	plus	22		
7460	Apis mellifera	408270	0	live	CytC	GB19293, GB48784	mitochondrial cytochrome C	cytochrome c		LG10	NC_037647.1	11824493	11827235	minus	4		
7460	Apis mellifera	406066	0	live	Jhe	Dpa1, Est, GB15327, GB53755	juvenile hormone esterase	juvenile hormone esterase|drone-preferential antennal protein-1		LG3	NC_037640.1	9456503	9459237	plus	8		
7460	Apis mellifera	409469	0	live	Cyp4g15	Cyp4g11, GB11973, GB51356	Cytochrome P450 4g15	Cytochrome P450 4g15|cytochrome P450 4G11|cytochrome P450 monooxygenase		LG16	NC_037653.1	2830988	2835517	minus	9		
7460	Apis mellifera	410082	0	live	Sod2	GB14346, GB45099	superoxide dismutase 2	superoxide dismutase 2|Mn Sod|Mn superoxide dismutase|superoxide dismutase 2, mitochondrial		LG11	NC_037648.1	11069598	11071864	plus	3		
7460	Apis mellifera	406133	0	live	Mrjp4	GB11768, GB55206	major royal jelly protein 4	major royal jelly protein 4|MRJP-4|bee-milk protein|royal jelly protein RJP57-2		LG11	NC_037648.1	2280526	2284092	plus	7		
