target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	823.288	2616	257.3
NM_001011562.1	863	452.108	2	0.358213
NM_001011566.1	1503	1075.29	37	2.78631
NM_001011563.1	2084	1656.29	52	2.54226
NM_001011568.1	2077	1649.29	42	2.06208
NM_001011565.1	3023	2595.29	40.0515	1.24965
NM_001011570.1	582	239.793	4122	1391.95
NM_001011567.1	4030	3602.29	68	1.52856
NM_001011572.1	2346	1918.29	3214	135.67
NM_001011574.1	1940	1512.29	1	0.053545
NM_001011571.1	2093	1665.29	1	0.0486255
NM_001011576.1	1195	767.288	5391	568.937
NM_001011573.1	3160	2732.29	516	15.2924
NM_001011579.1	1430	1002.29	59	4.76664
NM_001011575.1	2163	1735.29	724	33.7847
NM_001011581.1	2439	2011.29	77	3.10006
NM_001011578.1	5441	5013.29	2	0.0323043
NM_001011580.1	1544	1116.29	3	0.21762
NM_001011585.1	1638	1210.29	1434	95.9431
NM_001011582.1	356	120.174	7	4.71672
NM_001011587.1	496	183.612	739	325.91
NM_001011584.1	1606	1178.29	0	0
NM_001011589.1	624	269.686	153	45.9396
NM_001011586.1	2205	1777.29	183	8.3377
NM_001011591.1	584	241.158	2	0.671556
NM_001011588.1	724	343.231	1	0.235921
NM_001011593.1	548	216.589	5	1.86933
NM_001011590.1	574	234.425	7	2.41795
NM_001011595.1	2818	2390.29	326	11.0439
NM_001011592.1	1590	1162.29	2032	141.567
NM_001011597.1	2673	2245.29	658	23.7305
NM_001011594.1	4195	3767.29	58	1.24667
NM_001011599.1	1942	1514.29	4	0.213897
NM_001011596.1	4100	3672.29	243	5.35825
NM_001011601.1	1830	1402.29	83	4.79285
NM_001011598.1	1624	1196.29	2	0.135378
NM_001011603.1	1683	1255.29	3080	198.683
NM_001011600.1	2052	1624.29	106	5.2844
NM_001011605.1	1448	1020.29	54	4.28572
NM_001011602.1	2795	2367.29	339	11.5958
NM_001011606.1	1757	1329.29	50	3.04582
NM_001011608.1	1873	1445.29	606	33.9525
NM_001011612.1	304	96.4412	0	0
NM_001011613.1	710	332.397	1	0.243611
NM_001011610.1	1612	1184.29	4	0.273499
NM_001011614.1	688	315.47	0	0
NM_001011615.1	664	298.78	7	1.89714
NM_001011617.1	374	120.129	0	0
NM_001011618.1	523	200.592	0	0
NM_001011619.1	1559	1131.29	5	0.35789
NM_001011620.1	957	533.014	4	0.60768
NM_001011621.1	3254	2826.29	23	0.658968
NM_001011622.1	1529	1101.29	2	0.147056
NM_001011623.1	3376	2948.29	28	0.769027
NM_001011624.1	4969	4541.29	64	1.14118
NM_001011627.1	2520	2092.29	103	3.98629
NM_001011629.1	14440	14012.3	849.918	4.91158
NM_001011630.1	630	273.598	211193	62505.7
NM_001011631.1	1741	1313.29	15	0.924878
NM_001011633.1	1533	1105.29	87	6.37378
NM_001011635.1	1447	1019.29	8603	683.449
NM_001011636.1	570	231.597	845	295.446
NM_001011637.1	1369	941.288	0	0
NM_001011638.1	584	241.158	20	6.71556
NM_001011640.1	991	563.998	29	4.16365
NM_001011641.1	970	544.736	1773	263.558
NM_001011643.1	2378	1950.29	4151	172.348
NM_001011577.1	2389	1961.29	1042	43.0209
NM_001011650.1	2242	1814.29	45	2.00844
NM_001011634.2	3754	3326.29	73	1.77712
NM_001012429.1	672	304.235	45627	12144.1
NM_001012627.1	3153	2725.29	287	8.52752
NM_001012615.1	1097	669.288	1168	141.313
NM_001012962.1	3606	3178.29	217	5.52866
NM_001012963.1	502	187.406	7	3.0246
NM_001013006.1	2991	2563.29	59	1.86384
NM_001013361.1	4113	3685.29	15	0.329589
NM_001014429.1	1427	999.288	54	4.37579
NM_001014430.1	438	150.642	42	22.5765
NM_001014983.1	3250	2822.29	31	0.889434
NM_001014991.1	7242	6814.29	449.727	5.34418
NM_001014993.1	1386	958.288	1731	146.27
NM_001014994.1	1892	1464.29	1839	101.697
NM_001024697.1	1793	1365.29	0	0
NM_001032361.1	3585	3157.29	254	6.51437
NM_001039968.1	1349	921.288	42	3.69153
NM_001040231.1	363	122.787	0	0
NM_001040233.1	1647	1219.29	71	4.71525
NM_001040230.1	13107	12679.3	1353	8.64084
NM_001040234.1	1500	1072.29	0	0
NM_001040208.1	582	239.793	0	0
NM_001040204.1	793	395.121	6214	1273.49
NM_001040203.1	644	284.254	2285	650.927
NM_001040205.1	698	322.974	0	0
NM_001040207.1	1179	751.288	40	4.31128
NM_001040206.1	682	311.249	11	2.86179
NM_001040220.1	483	176.133	0	0
NM_001040221.1	459	161.976	5	2.49962
NM_001040209.1	588	243.845	1	0.332077
NM_001040224.1	399	133.221	0	0
NM_001040229.1	453	158.83	3	1.52947
NM_001040223.1	555	221.308	3	1.09769
NM_001040227.1	724	343.231	1	0.235921
NM_001040225.1	407	137.581	0	0
NM_001040226.1	432	147.809	20	10.9567
NM_001040236.1	1767	1339.29	572	34.584
NM_001040267.1	1895	1467.29	4459	246.079
NM_001040255.1	1893	1465.29	337	18.6234
NM_001040257.1	1554	1126.29	102	7.33337
NM_001040258.1	1250	822.288	325.878	32.0911
NM_001040265.1	1689	1261.29	49	3.14583
NM_001040263.1	1550	1122.29	404	29.1494
NM_001040256.1	767	375.242	107	23.0901
NM_001040259.1	1743	1315.29	0	0
NM_001040264.1	1600	1172.29	4	0.276299
NM_001040270.1	509	191.587	0	0
NM_001040269.1	1397	969.288	2830.39	236.454
NM_001040277.1	2150	1722.29	231	10.8607
NM_001040681.1	2499	2071.29	239	9.34352
NM_001042458.1	1737	1309.29	1173	72.5464
NM_001042460.1	1794	1366.29	341	20.21
NM_001077809.1	1344	916.288	5239	462.988
NM_001077808.1	5328	4900.29	101	1.66899
NM_001077812.1	1470	1042.29	320	24.8608
NM_001077811.1	1287	859.288	99	9.32931
NM_001077810.1	354	119.395	529	358.777
NM_001077813.1	3226	2798.29	183	5.29556
NM_001077815.1	1855	1427.29	205	11.6304
NM_001077814.1	387	126.573	0	0
NM_001077816.1	1530	1102.29	68	4.99536
NM_001077818.1	1707	1279.29	11	0.69627
NM_001077817.1	1194	766.288	7	0.739706
NM_001077819.1	378	121.937	898	596.338
NM_001077820.1	351	118.076	7	4.80053
NM_001077822.1	1533	1105.29	102	7.47271
NM_001077824.1	1842	1414.29	184	10.535
NM_001077821.1	4097	3669.29	550	12.1376
NM_001077825.1	1158	730.288	1	0.110881
NM_001078661.1	315	102.044	22	17.4577
NM_001079561.1	1701	1273.29	209	13.2915
NM_001079560.1	1607	1179.29	389	26.7106
NM_001080110.1	2703	2275.29	60	2.13534
NM_001080095.1	1590	1162.29	105	7.31524
NM_001080094.2	2123	1695.29	21	1.00306
NM_001080205.1	2713	2285.29	166	5.88194
NM_001083630.1	1713	1285.29	108	6.80419
NM_001085344.1	515	195.333	0	0
NM_001085345.1	1491	1063.29	0	0
NM_001085346.1	509	191.587	0	0
NM_001040266.2	1599	1171.29	89	6.15289
NM_001011626.2	755	366.783	669	147.696
NM_001040235.2	6077	5649.29	140	2.00672
NM_001098232.1	1146	718.288	2	0.225468
NM_001098218.1	2148	1720.29	18	0.847275
NM_001098220.1	1806	1378.29	14	0.82251
NM_001040262.2	438	150.642	9	4.83782
NM_001098217.1	2187	1759.29	0	0
NM_001098219.1	2139	1711.29	1	0.0473184
NM_001098234.1	462	163.878	7	3.45883
NM_001098228.1	1286	858.288	0	0
NM_001098214.1	1863	1435.29	491	27.701
NM_001098229.1	1284	856.288	45	4.25545
NM_001098221.1	1763	1335.29	77	4.66948
NM_001098223.1	1436	1008.29	5	0.401549
NR_003565.1	7091	6663.29	150.671	1.83102
NR_003566.1	6861	6433.29	9424	118.619
NR_003567.1	17525	17097.3	518	2.45333
NM_001077823.2	516	195.935	229	94.6402
NM_001098717.1	2199	1771.29	0	0
NM_001101023.1	3033	2605.29	13	0.404055
NM_001104949.1	3122	2694.29	27	0.811471
NM_001110764.1	2606	2178.29	2	0.0743478
NM_001111255.1	2504	2076.29	270	10.53
NM_001112670.1	3330	2902.29	186	5.1895
NM_001112671.1	3001	2573.29	1361	42.8275
NM_001113285.1	2779	2351.29	69	2.37627
NM_001113739.1	1509	1081.29	131	9.81032
NM_001114188.1	1950	1522.29	0	0
NM_001114198.1	730	347.807	3	0.698451
NM_001126244.1	1674	1246.29	1	0.0649733
NM_001131037.1	1164	736.288	16	1.75965
NM_001131038.1	2722	2294.29	138	4.87062
NM_001134227.1	1704	1276.29	18	1.14203
NM_001134333.1	282	85.597	21	19.8662
NM_001134371.1	591	245.893	2463	811.094
NM_001134722.1	105	21.0665	20	76.8761
NM_001134668.1	2541	2113.29	142	5.44105
NM_001134669.1	584	241.158	74	24.8476
NM_001134828.1	1495	1067.29	1459.66	110.745
NM_001134934.1	3281	2853.29	2180	61.8677
NM_001134940.1	1464	1036.29	23	1.79722
NM_001134942.1	1621	1193.29	351	23.8185
NM_001134943.1	1434	1006.29	0	0
NM_001134947.1	1760	1332.29	0	0
NM_001134948.1	3181	2753.29	2023	59.4973
NM_001134949.1	3346	2918.29	218	6.04897
NM_001134950.1	2295	1867.29	2098	90.9803
NM_001011644.2	1200	772.288	0	0
NM_001135735.1	1032	604.288	574	76.9168
NM_001135905.1	488	179.018	1198	541.892
NM_001135909.1	320	104.544	4486	3474.67
NM_001136187.1	614	262.53	7013	2163.1
NM_001136206.1	1002	574.288	89	12.5491
NM_001136207.1	930	509.526	0	0
NM_001136208.1	1008	580.288	0	0
NM_001136209.1	1029	601.288	7	0.942689
NM_001141964.1	2248	1820.29	57.5024	2.55799
NM_001142436.1	1295	867.288	611	57.0468
NM_001142461.1	824	420.178	365	70.3417
NM_001142561.1	1943	1515.29	58	3.09946
NM_001142609.1	1671	1243.29	2	0.13026
NM_001142637.1	999	571.288	1	0.141742
NM_001142607.1	642	282.728	0	0
NM_001142693.1	1386	958.288	4	0.338
NM_001112672.2	1701	1273.29	856	54.4378
NM_001143921.1	2102	1674.29	1	0.0483641
NM_001145738.1	2787	2359.29	51	1.75042
NM_001145739.1	2553	2125.29	13	0.495312
NM_001145736.1	2424	1996.29	13	0.527319
NM_001145737.1	2433	2005.29	25	1.00952
NM_001145740.1	3633	3205.29	102	2.57683
NM_001159303.1	1404	976.288	343	28.4491
NM_001098215.2	2635	2207.29	74	2.71473
NM_001160048.1	2747	2319.29	725	25.3126
NM_001160050.1	2417	1989.29	28521	1160.97
NM_001160052.1	2920	2492.29	1756.76	57.078
NM_001160064.1	2844	2416.29	2726	91.3546
NM_001160072.1	2237	1809.29	1610	72.0562
NM_001160270.1	698	322.974	1261	316.156
NM_001161787.1	927	506.912	12770	2039.91
NM_001161831.1	683	311.913	5847	1517.93
NM_001162398.1	165	35.5853	140	318.574
NM_001162513.1	4073	3645.29	43.0267	0.955782
NM_001162516.1	1758	1330.29	945	57.5227
NM_001163463.1	481	174.951	866	400.825
NM_001163715.1	854	444.767	1464	266.539
NM_001163716.1	900	483.811	2055	343.945
NM_001163717.1	2152	1724.29	231	10.8481
NM_001011616.2	680	309.911	7	1.82901
NM_001163712.1	1155	727.288	47	5.23292
NM_001163714.1	1566	1138.29	341	24.258
NM_001110712.2	754	366.038	29	6.41541
NM_001164008.1	2209	1781.29	0	0
NM_001164810.1	871	458.892	1039	183.34
NM_001164809.1	503	188.045	99	42.6312
NM_001165906.1	3754	3326.29	6098.24	148.456
NM_001165905.1	6135	5707.29	346	4.90907
NM_001165904.1	5715	5287.29	365	5.59002
NM_001167709.1	732	349.314	116	26.8903
NM_001167720.1	599	251.381	72	23.1928
NM_001167836.1	1455	1027.29	134	10.5625
NM_001167893.1	1135	707.288	10	1.14487
NR_031508.1	87	17.3955	0	0
NR_031509.1	83	16.5732	0	0
NR_031510.1	77	14.9238	0	0
NR_031511.1	107	21.7696	0	0
NR_031512.1	89	18.0398	0	0
NR_031513.1	92	18.5611	0	0
