target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1202	4712	413.696
NM_001011562.1	863	814	23	2.98184
NM_001011566.1	1503	1454	80	5.80639
NM_001011563.1	2084	2035	6730	349.005
NM_001011568.1	2077	2028	0	0
NM_001011565.1	3023	2974	0	0
NM_001011570.1	582	533	3709	734.362
NM_001011567.1	4030	3981	1	0.0265087
NM_001011572.1	2346	2297	197	9.05078
NM_001011574.1	1940	1891	0	0
NM_001011571.1	2093	2044	0	0
NM_001011576.1	1195	1146	2	0.184173
NM_001011573.1	3160	3111	43	1.45864
NM_001011579.1	1430	1381	0	0
NM_001011575.1	2163	2114	16	0.798722
NM_001011581.1	2439	2390	21	0.927261
NM_001011578.1	5441	5392	3	0.0587154
NM_001011580.1	1544	1495	53	3.74124
NM_001011585.1	1638	1589	16	1.06262
NM_001011582.1	356	307	2	0.687499
NM_001011587.1	496	447	7916	1868.87
NM_001011584.1	1606	1557	1	0.0677785
NM_001011589.1	624	575	0	0
NM_001011586.1	2205	2156	500	24.4738
NM_001011591.1	584	535	0	0
NM_001011588.1	724	675	0	0
NM_001011593.1	548	499	0	0
NM_001011590.1	574	525	0	0
NM_001011595.1	2818	2769	12	0.45734
NM_001011592.1	1590	1541	2150	147.237
NM_001011597.1	2673	2624	1.00065	0.0402438
NM_001011594.1	4195	4146	0	0
NM_001011599.1	1942	1893	0	0
NM_001011596.1	4100	4051	97	2.52691
NM_001011601.1	1830	1781	3	0.177762
NM_001011598.1	1624	1575	5	0.335019
NM_001011603.1	1683	1634	3269	211.127
NM_001011600.1	2052	2003	10005	527.129
NM_001011605.1	1448	1399	66	4.9786
NM_001011602.1	2795	2746	29	1.11449
NM_001011606.1	1757	1708	0	0
NM_001011608.1	1873	1824	1429	82.6776
NM_001011612.1	304	255	0	0
NM_001011613.1	710	661	0	0
NM_001011610.1	1612	1563	1	0.0675183
NM_001011614.1	688	639	0	0
NM_001011615.1	664	615	31	5.31946
NM_001011617.1	374	325	7	2.27298
NM_001011618.1	523	474	0	0
NM_001011619.1	1559	1510	0	0
NM_001011620.1	957	908	411959	47879.4
NM_001011621.1	3254	3205	0	0
NM_001011622.1	1529	1480	0	0
NM_001011623.1	3376	3327	1	0.0317196
NM_001011624.1	4969	4920	4	0.0857977
NM_001011627.1	2520	2471	400	17.0831
NM_001011629.1	14440	14391	3	0.0219994
NM_001011630.1	630	581	1280	232.495
NM_001011631.1	1741	1692	11	0.686077
NM_001011633.1	1533	1484	0	0
NM_001011635.1	1447	1398	61	4.60472
NM_001011636.1	570	521	27348	5539.47
NM_001011637.1	1369	1320	44	3.5177
NM_001011638.1	584	535	0	0
NM_001011640.1	991	942	3095	346.729
NM_001011641.1	970	921	354	40.5625
NM_001011643.1	2378	2329	22	0.996859
NM_001011577.1	2389	2340	415	18.716
NM_001011650.1	2242	2193	0	0
NM_001011634.2	3754	3705	73	2.07929
NM_001012429.1	672	623	699.944	118.565
NM_001012627.1	3153	3104	1	0.0339984
NM_001012615.1	1097	1048	1	0.100698
NM_001012962.1	3606	3557	14	0.41536
NM_001012963.1	502	453	0	0
NM_001013006.1	2991	2942	0	0
NM_001013361.1	4113	4064	0	0
NM_001014429.1	1427	1378	8	0.612663
NM_001014430.1	438	389	704	190.987
NM_001014983.1	3250	3201	0	0
NM_001014991.1	7242	7193	7.68483	0.112747
NM_001014993.1	1386	1337	10106	797.68
NM_001014994.1	1892	1843	1669	95.5678
NM_001024697.1	1793	1744	0	0
NM_001032361.1	3585	3536	78	2.32789
NM_001039968.1	1349	1300	0	0
NM_001040231.1	363	314	0	0
NM_001040233.1	1647	1598	10128	668.848
NM_001040230.1	13107	13058	59.6409	0.482001
NM_001040234.1	1500	1451	6.19947	0.450887
NM_001040208.1	582	533	7997	1583.36
NM_001040204.1	793	744	42	5.9574
NM_001040203.1	644	595	10	1.77363
NM_001040205.1	698	649	7	1.13824
NM_001040207.1	1179	1130	26.0015	2.42829
NM_001040206.1	682	633	51.8719	8.64786
NM_001040220.1	483	434	0	0
NM_001040221.1	459	410	6	1.54436
NM_001040209.1	588	539	3	0.587372
NM_001040224.1	399	350	180	54.2732
NM_001040229.1	453	404	0	0
NM_001040223.1	555	506	117885	24586
NM_001040227.1	724	675	8.12812	1.27077
NM_001040225.1	407	358	0	0
NM_001040226.1	432	383	5	1.37769
NM_001040236.1	1767	1718	342	21.0079
NM_001040267.1	1895	1846	20	1.14335
NM_001040255.1	1893	1844	165	9.44286
NM_001040257.1	1554	1505	5	0.350602
NM_001040258.1	1250	1201	68	5.97512
NM_001040265.1	1689	1640	99	6.37048
NM_001040263.1	1550	1501	1589	111.718
NM_001040256.1	767	718	87	12.7872
NM_001040259.1	1743	1694	206	12.8332
NM_001040264.1	1600	1551	280	19.0514
NM_001040270.1	509	460	0	0
NM_001040269.1	1397	1348	0	0
NM_001040277.1	2150	2101	444	22.3017
NM_001040681.1	2499	2450	302	13.0083
NM_001042458.1	1737	1688	0	0
NM_001042460.1	1794	1745	460	27.8191
NM_001077809.1	1344	1295	0	0
NM_001077808.1	5328	5279	9	0.179917
NM_001077812.1	1470	1421	0	0
NM_001077811.1	1287	1238	0	0
NM_001077810.1	354	305	134	46.3645
NM_001077813.1	3226	3177	373	12.39
