target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,gene_name,gene_beebase,gene_id,product
XM_026443365.1,1.15821E-65,9.86449E-62,7.209774794,0.421268481,12.43228342,15.80721633,0.002405942,0.263794758,0.118505462,0.263794758,LOC724838,GB46367,724838,"PREDICTED: Apis mellifera uncharacterized LOC724838 (LOC724838),"
XM_001123230.5,5.55621E-64,2.36611E-60,5.044385862,0.298704409,13.32035337,7.740817807,0.000581536,0.13325495,0.119949035,0.13325495,LOC727522,GB43689,727522,"PREDICTED: Apis mellifera uncharacterized LOC727522 (LOC727522),"
XM_392857.6,1.01254E-40,2.87461E-37,4.028549725,0.301500267,13.90660209,4.97784676,0.000278843,0.136074773,0.125464675,0.136074773,LOC409341,GB43825,409341,"PREDICTED: Apis mellifera lysosomal aspartic protease (LOC409341),"
NM_001011620.1,8.52528E-38,1.81524E-34,9.767212065,0.760053851,13.34764531,29.31274769,0.003506625,0.86301616,0.120122354,0.86301616,LOC406147,,406147,"Apis mellifera short-chain dehydrogenase/reductase (LOC406147),"
XM_624369.5,1.58123E-36,2.69347E-33,3.66349159,0.290228408,11.54326635,4.042557758,0.001166527,0.019091685,0.125182267,0.125182267,LOC551986,GB51071,551986,PREDICTED: Apis mellifera deoxyribose-phosphate aldolase
XM_001120425.5,1.39163E-31,1.97542E-28,3.835985143,0.328071186,11.65659525,4.543591449,0.001206772,0.160239283,0.123860727,0.160239283,LOC724536,,724536,"PREDICTED: Apis mellifera uncharacterized LOC724536 (LOC724536),"
XM_001121241.5,9.64731E-28,1.1738E-24,3.068394092,0.281086916,12.76305258,2.877876562,0.000411172,0.066293668,0.11810361,0.11810361,LOC725387,GB40021,725387,PREDICTED: Apis mellifera uncharacterized protein DDB_G0283357
XM_003249314.4,1.62534E-24,1.73037E-21,4.114624439,0.402633258,8.779601926,5.111162553,0.009819214,0.030333624,0.233351096,0.233351096,LOC100577680,GB51419,100577680,PREDICTED: Apis mellifera uncharacterized LOC100577680
XM_624405.6,3.41781E-24,3.23438E-21,4.029092916,0.397073159,12.65526435,5.05927743,0.000717485,0.235783156,0.118112929,0.235783156,LOC552024,GB41912,552024,"PREDICTED: Apis mellifera myo-inositol 2-dehydrogenase (LOC552024),"
XM_003249582.4,2.35284E-23,2.00391E-20,3.54875637,0.356411755,9.483131646,3.864435828,0.006740198,0.101177673,0.183803811,0.183803811,LOC100577149,GB46368,100577149,PREDICTED: Apis mellifera 15-hydroxyprostaglandin dehydrogenase
NM_001270819.1,5.034E-23,3.89769E-20,7.86059636,0.795528308,7.235321685,19.29613089,0.121029621,0.828268313,0.451650741,0.828268313,CPR3,,409345,"Apis mellifera cuticular protein 3 (CPR3), mRNA."
XM_001120116.5,3.52612E-22,2.50266E-19,5.827155428,0.60172966,7.767512043,10.62121642,0.03813033,0.504987545,0.356078002,0.504987545,LOC724312,GB43310,724312,"PREDICTED: Apis mellifera vanin-like protein 1 (LOC724312), mRNA."
NM_001110764.1,5.08501E-22,3.33146E-19,3.789994213,0.392887025,14.25024061,4.494449098,0.000186289,0.231354032,0.130553605,0.231354032,Hex70a,,726848,"Apis mellifera hexamerin 70a (Hex70a), mRNA."
XM_006570570.3,1.09551E-21,6.66461E-19,3.101126131,0.32413222,15.33738672,2.956471967,7.79829E-05,0.089143245,0.157514561,0.157514561,LOC102654405,,102654405,PREDICTED: Apis mellifera uncharacterized LOC102654405
XM_016913279.2,1.33177E-20,7.5618E-18,7.271999625,0.781460818,10.09366675,16.59741077,0.011837126,0.904184388,0.156722733,0.904184388,LOC100578995,GB43311,100578995,"PREDICTED: Apis mellifera vanin-like protein 1 (LOC100578995),"
XM_006562537.3,1.02484E-19,5.45534E-17,2.56820511,0.282646427,13.24853955,2.058140305,0.000302903,0.09899342,0.1195306,0.1195306,LOC409517,GB54861,409517,PREDICTED: Apis mellifera digestive cysteine proteinase 1
XM_393211.7,1.73232E-18,8.67892E-16,-2.748542698,0.313278602,10.50506576,2.290823027,0.002704451,0.027891722,0.144510773,0.144510773,LOC409712,GB50239,409712,PREDICTED: Apis mellifera short/branched chain specific acyl-CoA
XM_006557829.3,1.55172E-17,7.34223E-15,4.654015031,0.546039265,7.436499588,6.692290285,0.033231687,0.209685204,0.414006631,0.414006631,LOC551533,GB54776,551533,PREDICTED: Apis mellifera pyridoxine/pyridoxamine 5'-phosphate
XM_623081.5,8.77167E-17,3.93202E-14,2.506967606,0.30130617,13.13666191,1.994408462,0.00034889,0.135829223,0.118986445,0.135829223,LOC550687,GB49240,550687,"PREDICTED: Apis mellifera aldehyde dehydrogenase, mitochondrial"
XM_026440888.1,1.23795E-16,5.27183E-14,3.559888263,0.429969251,8.454820345,3.885846801,0.012036172,0.092970663,0.265274163,0.265274163,LOC726286,GB45701,726286,"PREDICTED: Apis mellifera uncharacterized LOC726286 (LOC726286),"
