target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	860.895	831	163.11
NM_001011562.1	863	480.932	8	2.81085
NM_001011566.1	1503	1112.89	162	24.5975
NM_001011563.1	2084	1693.89	58	5.78592
NM_001011568.1	2077	1686.89	21	2.10359
NM_001011565.1	3023	2632.89	33	2.11793
NM_001011570.1	582	248.238	2313	1574.48
NM_001011567.1	4030	3639.89	47	2.18192
NM_001011572.1	2346	1955.89	2946	254.518
NM_001011574.1	1940	1549.89	118	12.865
NM_001011571.1	2093	1702.89	0	0
NM_001011576.1	1195	804.895	2721	571.242
NM_001011573.1	3160	2769.89	229	13.9702
NM_001011579.1	1430	1039.89	28	4.54987
NM_001011575.1	2163	1772.89	329	31.3577
NM_001011581.1	2439	2048.89	53	4.37106
NM_001011578.1	5441	5050.89	1	0.0334551
NM_001011580.1	1544	1153.89	2	0.292883
NM_001011585.1	1638	1247.89	761	103.048
NM_001011582.1	356	118.264	242	345.775
NM_001011587.1	496	188.714	274	245.345
NM_001011584.1	1606	1215.89	1	0.138974
NM_001011589.1	624	280.582	610	367.368
NM_001011586.1	2205	1814.89	78	7.2623
NM_001011591.1	584	249.728	2	1.3533
NM_001011588.1	724	360.959	1	0.468137
NM_001011593.1	548	223.618	4	3.02262
NM_001011590.1	574	242.176	0	0
NM_001011595.1	2818	2427.89	231	16.0773
NM_001011592.1	1590	1199.89	555	78.1593
NM_001011597.1	2673	2282.89	313	23.168
NM_001011594.1	4195	3804.89	40	1.77643
NM_001011599.1	1942	1551.89	11	1.19774
NM_001011596.1	4100	3709.89	115	5.23802
NM_001011601.1	1830	1439.89	2	0.234709
NM_001011598.1	1624	1233.89	89	12.1883
NM_001011603.1	1683	1292.89	1896	247.803
NM_001011600.1	2052	1661.89	68	6.91411
NM_001011605.1	1448	1057.89	29	4.63219
NM_001011602.1	2795	2404.89	167	11.7341
NM_001011606.1	1757	1366.89	23	2.84331
NM_001011608.1	1873	1482.89	1544	175.941
NM_001011612.1	304	94.3072	0	0
NM_001011613.1	710	349.299	1	0.483764
NM_001011610.1	1612	1221.89	0	0
NM_001011614.1	688	330.851	0	0
NM_001011615.1	664	312.113	6	3.24841
NM_001011617.1	374	120.429	1	1.40313
NM_001011618.1	523	206.186	0	0
NM_001011619.1	1559	1168.89	3.00784	0.43482
NM_001011620.1	957	568.386	2	0.594589
NM_001011621.1	3254	2863.89	15.0115	0.885722
NM_001011622.1	1529	1138.89	15	2.22556
NM_001011623.1	3376	2985.89	13	0.735698
NM_001011624.1	4969	4578.89	48	1.77138
NM_001011627.1	2520	2129.89	0	0
NM_001011629.1	14440	14049.9	524.049	6.30274
NM_001011630.1	630	285.058	95151	56404.2
NM_001011631.1	1741	1350.89	7	0.875603
NM_001011633.1	1533	1142.89	45	6.6533
NM_001011635.1	1447	1056.89	3325	531.607
NM_001011636.1	570	239.32	827	583.925
NM_001011637.1	1369	978.895	0	0
NM_001011638.1	584	249.728	4	2.7066
NM_001011640.1	991	601.129	18	5.05983
NM_001011641.1	970	580.919	954	277.5
NM_001011643.1	2378	1987.89	1448	123.085
NM_001011577.1	2389	1998.89	381	32.2082
NM_001011650.1	2242	1851.89	20	1.82492
