geneName,genebiotype,entrezid,product,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC100578307,protein_coding,100578307,multiple inositol polyphosphate phosphatase 1,6.173119053,5.368659018,1.37172864,3.913790864,9.08583E-05,0.004541459
LOC100576529,protein_coding,100576529,uncharacterized LOC100576529,4.819518993,5.365100143,1.41479021,3.792152437,0.000149347,0.006439225
LOC724275,protein_coding,724275,uncharacterized LOC724275,38.4940704,4.981280583,0.669408661,7.441314806,9.96881E-14,8.47077E-11
Obp3,protein_coding,677671,odorant binding protein 3,5.824668232,4.533280266,1.48959835,3.043290339,0.002340064,0.045005313
LOC725967,protein_coding,725967,D-3-phosphoglycerate dehydrogenase,1810.192986,4.412254474,0.372425977,11.84733275,2.22149E-32,2.07643E-28
LOC102656658,lncRNA,102656658,uncharacterized LOC102656658,11.06853613,4.161425693,1.167498647,3.564394447,0.000364697,0.012009696
LOC107964872,lncRNA,107964872,uncharacterized LOC107964872,4.90733956,4.039628485,1.146212812,3.52432676,0.00042456,0.01340664
LOC100577146,protein_coding,100577146,uncharacterized LOC100577146,3.476691559,3.937091292,1.290609772,3.050566777,0.002284099,0.044110479
LOC551086,protein_coding,551086,zinc finger protein chinmo,61.04916502,3.850565107,0.44545013,8.644211428,5.41782E-18,8.44005E-15
LOC552679,protein_coding,552679,cytochrome P450 4c3,1481.602195,3.822974401,0.431064623,8.868680467,7.40177E-19,1.72961E-15
LOC102655609,lncRNA,102655609,uncharacterized LOC102655609,4.569338841,3.816006471,1.250188931,3.052343832,0.002270618,0.04396043
LOC551089,protein_coding,551089,translation initiation factor IF-2,19.56839696,3.758816316,0.792511569,4.742916651,2.10663E-06,0.000307667
LOC107964473,lncRNA,107964473,uncharacterized LOC107964473,45.14672299,3.464894332,0.670658235,5.16640839,2.38635E-07,5.06937E-05
LOC113219382,rRNA,113219382,small subunit ribosomal RNA,47.83455295,3.257439397,0.562507627,5.790924856,6.99999E-09,2.33675E-06
LOC410620,protein_coding,410620,heat shock protein Hsp70Ab-like,1898.173836,3.15591188,0.831466008,3.795599397,0.000147287,0.006403224
LOC102654975,protein_coding,102654975,zinc finger protein 628-like,71.27491747,3.144893815,0.412370461,7.62637994,2.41438E-14,2.25672E-11
LOC100578816,protein_coding,100578816,uncharacterized LOC100578816,1474.31497,3.020412078,0.878791458,3.437006643,0.000588181,0.017397878
LOC100577043,protein_coding,100577043,uncharacterized LOC100577043,24.36542957,2.969001711,0.733670321,4.046779089,5.19272E-05,0.003071921
LOC100577537,protein_coding,100577537,uncharacterized LOC100577537,136.7579614,2.935280045,0.484872849,6.053710881,1.41547E-09,6.61518E-07
LOC725498,protein_coding,725498,protein mesh,19.92591213,2.873998643,0.664028143,4.328127767,1.50382E-05,0.001222281
LOC408874,protein_coding,408874,uncharacterized LOC408874,1289.537495,2.611758164,0.234899372,11.11862556,1.01829E-28,4.75896E-25
LOC107965199,protein_coding,107965199,UDP-glucuronosyltransferase 1-1,306.1545162,2.607255462,0.823999408,3.164147249,0.001555381,0.033888449
LOC102655131,protein_coding,102655131,zinc finger protein 300-like,14.12431956,2.584900566,0.764307872,3.382014841,0.000719563,0.02031949
Y-y,protein_coding,408273,yellow-y,30.57118645,2.546390025,0.587332753,4.335515107,1.45419E-05,0.001222281
LOC100577074,lncRNA,100577074,uncharacterized LOC100577074,41.60128647,2.464265873,0.518646476,4.751340244,2.02073E-06,0.000299805
LOC727000,protein_coding,727000,protein sprint,668.9223582,2.435869644,0.222432797,10.95103633,6.56917E-28,2.04673E-24
LOC102655088,lncRNA,102655088,uncharacterized LOC102655088,41.63982749,2.417133938,0.444959804,5.432252339,5.56472E-08,1.44482E-05
LOC100578666,protein_coding,100578666,uncharacterized LOC100578666,266.9696942,2.414190654,0.410404659,5.882464056,4.04203E-09,1.5742E-06
Kr-h1,protein_coding,100576395,kruppel homolog 1,119.9719811,2.410896336,0.278571338,8.654502471,4.95066E-18,8.44005E-15
LOC412197,protein_coding,412197,protein lethal(2)essential for life,462.0116709,2.395307577,0.552701742,4.333815865,1.46547E-05,0.001222281
LOC410489,protein_coding,410489,myosin-IIIb,18.30488467,2.386590079,0.758187695,3.147756282,0.001645288,0.034793004
LOC410582,protein_coding,410582,"ornithine aminotransferase, mitochondrial",18.00850686,2.325337167,0.710080681,3.274750645,0.001057553,0.025675184
LOC100578444,lncRNA,100578444,uncharacterized LOC100578444,24.28252348,2.301107886,0.54634163,4.211847972,2.5329E-05,0.001766792
LOC726040,protein_coding,726040,4-coumarate--CoA ligase 1,3135.115264,2.245614717,0.278601666,8.060306119,7.61036E-16,8.89176E-13
LOC412843,protein_coding,412843,phosphoenolpyruvate carboxykinase,685.7147377,2.239130971,0.38197009,5.862058392,4.57164E-09,1.70925E-06
LOC412941,protein_coding,412941,synaptic vesicle glycoprotein 2B,291.2651125,2.22781421,0.281794691,7.905806192,2.66205E-15,2.76469E-12
LOC107966102,lncRNA,107966102,uncharacterized LOC107966102,73.54226279,2.211320416,0.564752353,3.915557687,9.01955E-05,0.004541459
LOC412467,protein_coding,412467,bifunctional purine biosynthesis protein PURH,1576.510114,2.186888602,0.355737553,6.147477492,7.87249E-10,4.32848E-07
LOC724507,protein_coding,724507,RIB43A-like with coiled-coils protein 1,22.96028346,2.180637899,0.561634686,3.882662435,0.000103319,0.005003742
LOC411207,protein_coding,411207,CCAAT/enhancer-binding protein,1037.557845,2.123825118,0.349075673,6.084139576,1.17119E-09,5.76162E-07
LOC113219215,lncRNA,113219215,uncharacterized LOC113219215,13.95473903,2.121774255,0.647159078,3.278597686,0.001043242,0.025393718
LOC100576803,protein_coding,100576803,uncharacterized LOC100576803,51.08692846,2.113114862,0.559824491,3.774602393,0.000160263,0.006717394
LOC725920,protein_coding,725920,vitellogenin receptor,14.37096997,2.072432361,0.607623654,3.410717056,0.000647923,0.018749645
