gffid,gene_id,gene_names,gene_beebase,product,motif_count
gene35,100577692,LOC100577692,GB42180,transcription factor btd,1
gene79,751098,Glob1,GB47694,globin 1,3
gene155,724238,LOC724238,GB50342,paired box protein Pax-6,1
gene220,102653920,LOC102653920,,uncharacterized LOC102653920,1
gene241,100577454,LOC100577454,GB53192,tuftelin,1
gene277,551443,LOC551443,GB54844,uncharacterized LOC551443,1
gene425,102655155,LOC102655155,,uncharacterized LOC102655155,3
gene550,410732,LOC410732,GB43004,3-phosphoinositide-dependent protein kinase 1,1
gene587,413470,LOC413470,GB41039,60S ribosomal protein L17,1
gene593,409606,LOC409606,GB41045,uncharacterized LOC409606,2
gene714,100577140,LOC100577140,GB44735,UDP-glucuronosyltransferase 2B19,2
gene719,113219066,LOC113219066,,uncharacterized LOC113219066,1
gene745,412748,LOC412748,GB44770,ATP-binding cassette sub-family G member 1,1
gene815,409109,LOC409109,GB46429,mycosubtilin synthase subunit C,1
gene820,724680,LOC724680,GB46502,uncharacterized LOC724680,1
gene848,102656611,LOC102656611,,glycine-rich cell wall structural protein-like,1
gene912,724636,LOC724636,GB55306,myoblast determination protein 1 homolog,1
gene914,411850,LOC411850,GB55269,protein PAT1 homolog 1,1
gene944,411473,LOC411473,GB47450,"carnitine O-palmitoyltransferase 2, mitochondrial",1
gene987,726115,LOC726115,GB47474,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",2
gene989,412196,LOC412196,GB47415,uncharacterized LOC412196,1
gene1002,100578881,LOC100578881,GB47484,histone H3.3-like type 1,1
gene1060,413560,LOC413560,GB49734,uncharacterized LOC413560,1
gene1202,412778,LOC412778,GB45530,chondroitin sulfate proteoglycan 4,1
gene1205,413575,LOC413575,GB48937,facilitated trehalose transporter Tret1,1
gene1379,409097,MsrA,GB55004,methionine sulphoxide reductase A,1
gene1385,102656037,LOC102656037,,integumentary mucin C.1,1
gene1396,104794347,Mir6053,,microRNA 6053,1
gene1684,724275,LOC724275,GB43418,uncharacterized LOC724275,2
gene1754,100578727,LOC100578727,GB50767,uncharacterized LOC100578727,1
gene1772,551849,LOC551849,GB50756,L-galactose dehydrogenase,1
gene1794,552471,LOC552471,GB50746,"39S ribosomal protein L52, mitochondrial",1
gene1995,408693,LOC408693,GB52469,epidermal growth factor receptor kinase substrate 8,1
gene2035,113219427,LOC113219427,,uncharacterized LOC113219427,1
gene2084,410862,LOC410862,GB49801,solute carrier family 41 member 3,1
gene2114,724211,LOC724211,GB19797,cytochrome P450 9e2,2
gene2168,410828,LOC410828,GB55638,"tryptophan 2,3-dioxygenase",1
gene2221,725144,LOC725144,GB55604,uncharacterized LOC725144,4
gene2232,100049563,Kakusei,,kakusei non-coding nuclear RNA,1
gene2318,725070,LOC725070,GB55465,DNA fragmentation factor subunit alpha,1
gene2325,408660,LOC408660,GB55556,uncharacterized LOC408660,1
gene2392,408655,LOC408655,GB55512,acidic fibroblast growth factor intracellular-binding protein,1
gene2417,104794355,Mir6047b,,microRNA 6047b,1
gene2467,409402,LOC409402,GB53286,uncharacterized LOC409402,1
gene2587,107964175,LOC107964175,,uncharacterized LOC107964175,1
gene2611,409587,Hsc70-3,GB49117,heat shock 70 kDa protein cognate 3,1
gene2633,102654462,LOC102654462,,uncharacterized LOC102654462,1
gene2653,100577303,LOC100577303,,uncharacterized LOC100577303,1
gene2756,409347,LOC409347,GB51495,U4/U6.U5 tri-snRNP-associated protein 1,1
gene2765,409523,LOC409523,GB51503,mitogen-activated protein kinase 1,1
gene2785,410958,LOC410958,GB55847,ubiquitin-like modifier-activating enzyme 1,1
gene2786,410959,LOC410959,GB55846,kinesin 12,1
