target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1081.37	38920	879.597
NM_001011562.1	863	693.389	258	9.09343
NM_001011566.1	1503	1333.37	2468	45.2355
NM_001011563.1	2084	1914.37	620	7.915
NM_001011568.1	2077	1907.37	718	9.19972
NM_001011565.1	3023	2853.37	694.874	5.95159
NM_001011570.1	582	412.744	20457	1211.28
NM_001011567.1	4030	3860.37	1054	6.67262
NM_001011572.1	2346	2176.37	115475	1296.7
NM_001011574.1	1940	1770.37	670	9.24902
NM_001011571.1	2093	1923.37	19.0708	0.242321
NM_001011576.1	1195	1025.37	16426	391.504
NM_001011573.1	3160	2990.37	19025	155.484
NM_001011579.1	1430	1260.37	3370	65.3457
NM_001011575.1	2163	1993.37	6307	77.325
NM_001011581.1	2439	2269.37	860	9.26143
NM_001011578.1	5441	5271.37	88	0.407985
NM_001011580.1	1544	1374.37	1051	18.6889
NM_001011585.1	1638	1468.37	16215	269.877
NM_001011582.1	356	190.216	22730	2920.36
NM_001011587.1	496	327.157	8771	655.206
NM_001011584.1	1606	1436.37	0	0
NM_001011589.1	624	454.57	3267	175.644
NM_001011586.1	2205	2035.37	5064	60.8044
NM_001011591.1	584	414.733	6	0.353563
NM_001011588.1	724	554.42	17	0.749367
NM_001011593.1	548	378.823	20	1.29026
NM_001011590.1	574	404.764	9	0.543407
NM_001011595.1	2818	2648.37	3764	34.7341
NM_001011592.1	1590	1420.37	23284	400.628
NM_001011597.1	2673	2503.37	14448	141.048
NM_001011594.1	4195	4025.37	1298.82	7.88547
NM_001011599.1	1942	1772.37	765	10.5485
NM_001011596.1	4100	3930.37	2379	14.7926
NM_001011601.1	1830	1660.37	821	12.0843
NM_001011598.1	1624	1454.37	636	10.6873
NM_001011603.1	1683	1513.37	43888	708.738
NM_001011600.1	2052	1882.37	1948	25.2912
NM_001011605.1	1448	1278.37	10829	207.022
NM_001011602.1	2795	2625.37	727	6.76751
NM_001011606.1	1757	1587.37	161	2.47875
NM_001011608.1	1873	1703.37	28028	402.131
NM_001011612.1	304	141.664	0	0
NM_001011613.1	710	540.488	11637	526.186
NM_001011610.1	1612	1442.37	656	11.1151
NM_001011614.1	688	518.488	3	0.141406
NM_001011615.1	664	494.501	11312	559.059
NM_001011617.1	374	207.377	2345	276.355
NM_001011618.1	523	353.987	9	0.621354
NM_001011619.1	1559	1389.37	78.0457	1.37283
NM_001011620.1	957	787.389	115	3.56938
NM_001011621.1	3254	3084.37	429.779	3.40536
NM_001011622.1	1529	1359.37	2249.87	40.4488
NM_001011623.1	3376	3206.37	345	2.6296
NM_001011624.1	4969	4799.37	824.122	4.19655
NM_001011627.1	2520	2350.37	812	8.44315
NM_001011629.1	14440	14270.4	5548.48	9.50219
NM_001011630.1	630	460.559	40115	2128.66
NM_001011631.1	1741	1571.37	199	3.09499
NM_001011633.1	1533	1363.37	179	3.20866
NM_001011635.1	1447	1277.37	141479	2706.83
NM_001011636.1	570	400.764	48841	2978.38
NM_001011637.1	1369	1199.37	113	2.30256
NM_001011638.1	584	414.733	49	2.88743
NM_001011640.1	991	821.369	131	3.89778
NM_001011641.1	970	800.369	1805	55.1152
NM_001011643.1	2378	2208.37	21089	233.383
NM_001011577.1	2389	2219.37	4550	50.1033
NM_001011650.1	2242	2072.37	1456	17.1703
NM_001011634.2	3754	3584.37	2907	19.8206
NM_001012429.1	672	502.488	103479	5032.82
NM_001012627.1	3153	2983.37	185	1.51548
NM_001012615.1	1097	927.369	4688	123.543
